"","vultum_aliquis_verba_vobis_forsitan_ilium_oblitus","ideo_illam_duo_utique_quemadmodum_verum_alter","mentem_sestertium_ratione_alius_huic_tuum_tum","tua_tot_veluti_frater_faciem_tuam_terram","potui_subito_vota_fieri_magister_unus_eiusmodi","sive_una_subinde_meos_omnis_unum_locum","fortunata_pectore_gratiam_habinnas_trimalchionis_caesar_scintilla","mare_tellus_potest_fluctus_magnum_fortuna_erit"
"miles",0.000834001079295514,1.65972349006655e-05,0.00281711162105185,1.86737876043398e-05,0.0050350043128523,0.00414424444856807,0.00105587876027411,2.24210219501805e-05
"mille",1.63529623391277e-05,1.65972349006655e-05,0.00654838529131919,0.0037534313084723,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00338557431447725
"potest",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.0123539830945494
"sanguine",0.00328694543016467,1.65972349006655e-05,1.86563683513367e-05,0.00188605254803832,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00899082980202238
"sit",1.63529623391277e-05,0.0025061824700005,0.00561556687375235,1.86737876043398e-05,0.0050350043128523,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"tot",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,0.0102892569699912,2.00597781388538e-05,2.06181315849158e-05,0.00312622927061552,2.24210219501805e-05
"unquam",1.63529623391277e-05,0.00499576770510033,1.86563683513367e-05,1.86737876043398e-05,0.0050350043128523,2.06181315849158e-05,0.00312622927061552,2.24210219501805e-05
"unum",1.63529623391277e-05,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,0.00202603759202423,0.00826787076555122,2.0703505103414e-05,2.24210219501805e-05
"verba",0.00819283413190299,0.00333604421503377,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"vultum",0.0114634265997285,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"aliquid",0.00410459354712106,0.00167632072496722,1.86563683513367e-05,1.86737876043398e-05,0.00102304868508154,0.00311333786932228,2.0703505103414e-05,0.00226452321696823
"amici",0.00328694543016467,0.00333604421503377,0.00468274845618552,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"domum",0.000834001079295514,0.00499576770510033,1.86563683513367e-05,1.86737876043398e-05,0.00603799321979499,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"extra",1.63529623391277e-05,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00603799321979499,0.00723696418630544,2.0703505103414e-05,2.24210219501805e-05
"frater",1.63529623391277e-05,0.0025061824700005,0.000951474785918173,0.00842187820955724,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"illius",1.63529623391277e-05,0.00333604421503377,0.00561556687375235,1.86737876043398e-05,0.00202603759202423,2.06181315849158e-05,2.0703505103414e-05,0.00114347211945921
"illud",1.63529623391277e-05,0.00582562945013361,1.86563683513367e-05,0.00281974192825531,2.00597781388538e-05,0.00311333786932228,2.0703505103414e-05,2.24210219501805e-05
"iniuriam",1.63529623391277e-05,0.00499576770510033,1.86563683513367e-05,0.00468712068868929,2.00597781388538e-05,0.00208243129007649,2.0703505103414e-05,2.24210219501805e-05
"locum",0.00410459354712106,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,0.00826787076555122,2.0703505103414e-05,2.24210219501805e-05
"nostrum",0.00492224166407745,0.000846458979933943,0.00188429320348501,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00416140452578622,2.24210219501805e-05
"pater",0.00246929731320829,1.65972349006655e-05,1.86563683513367e-05,0.00562081006890628,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00450662541198628
"placet",1.63529623391277e-05,0.00167632072496722,0.00654838529131919,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,0.00450662541198628
"pueri",1.63529623391277e-05,0.00582562945013361,1.86563683513367e-05,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"puero",0.00492224166407745,0.00499576770510033,0.000951474785918173,1.86737876043398e-05,2.00597781388538e-05,2.06181315849158e-05,2.0703505103414e-05,2.24210219501805e-05
"quartilla",0.00492224166407745,1.65972349006655e-05,1.86563683513367e-05,1.86737876043398e-05,0.00102304868508154,2.06181315849158e-05,0.00623175503612762,2.24210219501805e-05
"rem",0.00410459354712106,1.65972349006655e-05,0.00561556687375235,0.000952363167821329,2.00597781388538e-05,0.0010515247108307,2.0703505103414e-05,2.24210219501805e-05
"satis",1.63529623391277e-05,0.00167632072496722,0.00468274845618552,1.86737876043398e-05,2.00597781388538e-05,0.00620605760705965,2.0703505103414e-05,2.24210219501805e-05
