"","non_nec_sed_quid_est_ad_ego","in_tibi_tu_quid_te_non_et","et_est_ego_quod_tamen_si_non","non_est_et_de_si_in_ex","trimalchio_ad_sed_et_non_est_cum","et_in_mihi_nos_nihil_trimalchio_inquit","est_non_aut_quid_modo_in_inquit","et_in_quam_tamen_ne_habet_quae","et_trimalchio_inquit_non_cum_haec_me","in_et_ut_ad_manus_se_quo","et_qui_est_itaque_tanquam_cum_plane","in_et_cum_iam_quo_dum_sum","de_me_ut_esset_sed_nisi_ego","et_in_sunt_cum_ex_etiam_nos","ad_et_omnes_statim_si_summam_sunt","in_ad_haec_cum_ut_esse_quod","et_super_inquit_habinnas_familia_ac_medio","eius_qui_per_coepit_ad_ille_post","quae_altera_pro_super_erat_a_nobis","cum_et_trimalchio_atque_inter_autem_nostrum"
"sed",0.0592935239697225,0.00795787473275794,4.32750562575731e-05,0.00941099353872085,0.0379476975554292,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,0.00324675324675325,0.0332713507769956,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,0.0132363253856942,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"si",0.0325330682773912,0.0138965872198907,0.0368270728751947,0.0351624683959172,4.73754026909229e-05,0.00243925770040176,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.0401791683380131,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"me",3.8229222417616e-05,0.0257740121941563,0.0303358144365588,0.016434123045229,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,0.0271555876685934,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.0498738212245982,6.66311300639659e-05,0.0268083968444979,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"ego",0.0363559905191528,0.0297331538522448,0.0411545785009521,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.0266303625979546,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"quid",0.044001835002676,0.0376514371684219,4.32750562575731e-05,4.68208633767207e-05,4.73754026909229e-05,4.78285823608188e-05,0.0397186376137085,0.00298979950756243,0.00307080924855491,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,0.00885343618513324,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"quod",3.8229222417616e-05,3.95914165808853e-05,0.0411545785009521,0.018775166214065,0.0237350767481524,4.78285823608188e-05,0.026496720964671,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,6.64098817904104e-05,6.66311300639659e-05,0.0201230110977403,0.0243614658523043,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"de",3.8229222417616e-05,3.95914165808853e-05,0.0303358144365588,0.0375035115647533,4.73754026909229e-05,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,0.0241449903660886,6.00312162324409e-05,6.2664494297531e-05,0.00961293608352432,0.0531943153141187,6.66311300639659e-05,6.68538574675759e-05,6.94058856191005e-05,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"iam",3.8229222417616e-05,0.0198352997070235,4.32750562575731e-05,0.016434123045229,0.0284726170172446,0.0191792615266883,5.28876665961498e-05,5.86235197561262e-05,0.00307080924855491,6.00312162324409e-05,6.2664494297531e-05,0.0350776674306086,6.64098817904104e-05,6.66311300639659e-05,6.68538574675759e-05,0.0243614658523043,8.76577840112202e-05,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"etiam",0.00577261258506002,3.95914165808853e-05,0.0108620391206509,0.00941099353872085,0.0237350767481524,4.78285823608188e-05,0.00534165432621113,0.00298979950756243,6.02119460500963e-05,6.00312162324409e-05,0.0157287880686803,6.36618283677107e-05,0.010027892150352,0.0433768656716418,6.68538574675759e-05,6.94058856191005e-05,0.0220021037868163,9.00252070579762e-05,9.16758342500917e-05,9.99200639488409e-05
"nec",0.0612049850906033,3.95914165808853e-05,4.32750562575731e-05,4.68208633767207e-05,0.00241614553723707,4.78285823608188e-05,5.28876665961498e-05,5.86235197561262e-05,6.02119460500963e-05,6.00312162324409e-05,6.2664494297531e-05,6.36618283677107e-05,0.0233098685084341,0.0133928571428571,6.68538574675759e-05,0.00353970016657413,8.76577840112202e-05,0.022596326971552,9.16758342500917e-05,9.99200639488409e-05
