"","omnes_mente_virgo_tua_de_dum_tota","amore_verum_an_miser_misero_sis_id","quantum_ubi_ante_nulla_tantum_hominum_impia","puella_homo_cui_pater_Hymen_Hymenaee_matris","mi_id_bene_Lesbia_illud_sive_satis","amores_per_domum_dies_tempore_Catulle_facit","e_una_tecum_sine_domus_quondam_vertice","vos_oculis_pro_mi_e_divis_O","Invalid_Version_pectore_corpore_terra_toto_centum","lumina_saepe_illam_quos_idem_divum_nomine","multa_usque_milia_cur_mala_di_caput","ab_omnibus_amorem_fuit_nulla_prius_unquam","puellae_modo_huc_libet_qua_meae_sunt","sic_bona_nihil_tua_certe_Iuppiter_genus","quis_hic_magis_ille_potest_sola_malum"
"puella",5.6000448003584e-05,5.89726956419178e-05,6.38691958868238e-05,0.0619261574526275,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,7.32225232481511e-05,7.65872711955273e-05,7.90076637433831e-05,8.12545705695945e-05
"sit",0.0224561796494372,0.0177507813882173,6.38691958868238e-05,0.00332096112521977,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,0.0147177271728784,7.65872711955273e-05,7.90076637433831e-05,8.12545705695945e-05
"cui",5.6000448003584e-05,5.89726956419178e-05,6.38691958868238e-05,0.0293677150485121,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,0.0183788533352859,7.65872711955273e-05,0.01588054041242,8.12545705695945e-05
"dum",0.0308562468499748,5.89726956419178e-05,6.38691958868238e-05,0.00332096112521977,6.6414292355715e-05,0.00689090536944805,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,0.0144531530883728,7.32225232481511e-05,7.65872711955273e-05,7.90076637433831e-05,8.12545705695945e-05
"ille",5.6000448003584e-05,5.89726956419178e-05,6.38691958868238e-05,0.00983264960604285,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,0.0108578413748472,7.32225232481511e-05,7.65872711955273e-05,7.90076637433831e-05,0.0488339969123263
"nulla",5.6000448003584e-05,5.89726956419178e-05,0.0319984671392987,6.51168848082308e-05,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,0.0293622318225086,7.65872711955273e-05,7.90076637433831e-05,8.12545705695945e-05
"omnes",0.0504564036512292,5.89726956419178e-05,6.38691958868238e-05,6.51168848082308e-05,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,7.32225232481511e-05,7.65872711955273e-05,7.90076637433831e-05,8.12545705695945e-05
"quis",5.6000448003584e-05,5.89726956419178e-05,6.38691958868238e-05,6.51168848082308e-05,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,7.32225232481511e-05,7.65872711955273e-05,7.90076637433831e-05,0.0732103680832047
"sunt",5.6000448003584e-05,5.89726956419178e-05,6.38691958868238e-05,6.51168848082308e-05,6.6414292355715e-05,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,0.0181791844716448,7.19062342705113e-05,7.32225232481511e-05,0.0268821321896301,0.0237813067867583,8.12545705695945e-05
"bene",0.0168561348490788,5.89726956419178e-05,6.38691958868238e-05,6.51168848082308e-05,0.0365942750879989,6.82267858361193e-05,7.16486350935015e-05,7.16486350935015e-05,7.24270297675092e-05,7.24270297675092e-05,7.19062342705113e-05,7.32225232481511e-05,7.65872711955273e-05,7.90076637433831e-05,8.12545705695945e-05
