"","annus_accipere_ire_amicus_tenere_currere_regere","stare_pes_eumolpus_iterum_ingens_extra_metiri","hodie_nemo_fortunare_maga_amare_dominus_caelus","sanguis_an_adhuc_quidam_cenare_amicus_temptare","deinde_numquid_lacrima_mors_ab_timere_peccare","vinum_supra_metiri_perfundere_aqua_potio_medius","movere_giton_vultus_causa_relinquere_ars_parere","nasci_alter_aureus_afferre_duo_notare_ovare","planus_dormire_pater_occidere_pro_aurum_relinquere","nox_frater_intellegere_ascyltos_pati_vir_descendere","vultus_postquam_pectus_gaudium_mens_gladium_nunc","ante_mulier_diligens_iacere_ascyltos_uter_longus","locus_tantus_fugere_frater_loqui_amare_secretus","pro_causa_legere_ducere_fides_poena_vulnus","eumolpus_navis_iuvenis_navigium_damnare_littera_placere","pes_afferre_implere_gratia_fortunare_post_cervix","extra_turbare_imponere_vocare_gitona_frons_carmen","vocare_noster_ancilla_hinc_puella_quia_vox","perire_mare_fluctus_vincere_vovere_litus_terra","terra_arma_tellus_petere_orbis_bellus_caelus"
"ab",2.24029392656317e-05,0.00229613294837111,2.5551268620487e-05,0.0115531418910265,0.0154550363874817,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.00997527495950209,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,0.0046913350110293,3.18603243381018e-05,3.3855841825507e-05
"afferre",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.0219229821824452,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,0.0254889627699404,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"causa",2.24029392656317e-05,2.27339895878328e-05,0.00641336842374224,0.00258728898224761,2.57155347545452e-05,2.64991917746509e-05,0.0159471435773609,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.020655921265875,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"ducere",2.24029392656317e-05,0.00343283242776275,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.00284210822523004,0.0156369725004966,2.84195867792082e-05,0.0162359666440758,0.00299818921245584,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,0.00640392519195845,3.3855841825507e-05
"fieri",0.012344019535363,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.00960670005747598,0.00973998945528207,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.0104194496393267,0.00152754065953814,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"legere",2.24029392656317e-05,0.0102530293041126,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,0.0125323033317587,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.0177092848513422,2.96850417074836e-05,0.00452271842333843,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"tantus",2.24029392656317e-05,2.27339895878328e-05,0.00769093185476659,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,0.00686974847414949,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.019922130332225,0.00444942098594454,2.96850417074836e-05,2.99517776380028e-05,0.00309464717958146,0.0046913350110293,3.18603243381018e-05,3.3855841825507e-05
"uter",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,0.0115531418910265,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.00284210822523004,0.0184748985441439,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,0.0143690062764839,3.3855841825507e-05
"uti",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,0.0115977061742999,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.0126909981146411,0.014218009478673,2.84195867792082e-05,0.00297610277867814,0.00448244129783002,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"ceterus",0.00114254990254721,0.00684293086593766,0.00641336842374224,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,0.00836413149192764,2.81396853983172e-05,2.8379260436473e-05,0.00571233694262085,2.94663641453281e-05,2.96850417074836e-05,0.010513073950939,0.0046266507338297,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
