"","facere_meus_sium_homo_bonus_hic_putare","hic_posse_totus_eumolpus_suus_alius_parvus","hic_sium_res_habere_is_nere_pro","nere_meus_at_omnis_coepere_videre_totus","sium_nere_hic_omnis_frater_nox_corpus","nere_alius_niti_pro_hic_solus_mare","hic_suus_homo_omnis_magnus_adhuc_invenire","malus_diu_pectus_numquid_puer_lacrima_corpus","suus_nere_verbum_unus_eumolpus_puer_oculus","oculus_ascyltos_pars_ridere_fortis_ludere_facere","hic_is_giton_meus_prae_ancilla_plenus","meus_tuus_nasci_nemo_hic_iratus_nunc","hic_sium_bonus_omnis_statim_is_fieri","intrare_metiri_alius_circare_pes_suus_at","puer_hic_habere_alter_multus_duo_vinum","coepere_familia_potio_dare_pes_fortunata_iubere","suus_parvus_movere_vultus_vides_magnus_tollere","ante_paulo_hic_suus_dominus_meus_nunc","placere_niti_caelus_furere_at_ferre_tellus","tantus_at_ancilla_sanguis_vir_armare_unda"
"habere",0.0115653147151308,2.08381087332514e-05,0.0240347470191484,0.00658801899800827,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,0.016654301721712,2.61855508130614e-05,0.0203033334234502,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"coepere",0.00445913055836842,2.08381087332514e-05,0.00628536824740546,0.0197202827814135,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.00992844586397286,0.00256091685894673,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,0.0405042065396513,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"alius",1.77654603919061e-05,0.0146075142220092,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,0.0253932204208848,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.0140600678761897,2.55826447338126e-05,0.0235931812825683,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,0.00207832430009373
"posse",0.00712394961715433,0.0229427577153098,0.0125498548727265,2.18871063056753e-05,2.27071459388269e-05,0.00606441324989732,2.45164137389983e-05,2.466760403562e-05,0.00990392452270987,2.47592166183862e-05,2.53556124648191e-05,0.00768072673454286,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"prae",1.77654603919061e-05,2.08381087332514e-05,2.08816220844035e-05,0.00987108494385957,2.27071459388269e-05,2.41610089637343e-05,0.00737944053543848,2.466760403562e-05,2.46980661414211e-05,0.0148802891876501,0.0165065037145972,0.0051289902778841,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.0077856012903626,0.0102419272516928,3.42008960634769e-05,4.07514568645829e-05
"videre",0.00890049565634493,0.00418845985538352,2.08816220844035e-05,0.0175315721508459,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.0111664066948922,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,0.0094893076319987,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,0.0163413342026977
"magnus",0.0133418607543214,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.00229342173982152,2.41610089637343e-05,0.0184118267179877,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,0.0186420174323025,0.013644560890129,3.42008960634769e-05,0.00207832430009373
"putare",0.0213363179306792,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,0.00910556552146961,2.41610089637343e-05,0.0159601853440879,2.466760403562e-05,2.46980661414211e-05,0.00250068087845701,2.53556124648191e-05,2.55173645665876e-05,0.00770037606487759,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"malus",0.0142301337739168,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,0.0098310819093383,0.0222255112360936,0.00496431129442565,2.47592166183862e-05,2.53556124648191e-05,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,0.00678580118413582,0.00147445719737489,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"niti",0.00357085753877312,0.00314655441872096,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,0.0229771195245113,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,2.47592166183862e-05,2.53556124648191e-05,0.00768072673454286,2.55826447338126e-05,2.61855508130614e-05,2.70350644786288e-05,0.00581109601318338,3.1018331834114e-05,3.40263363843615e-05,0.0222647833373234,4.07514568645829e-05
"res",0.00445913055836842,2.08381087332514e-05,0.027166990331809,2.18871063056753e-05,0.0113762801153523,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.0012627200475377,0.00763203935191055,2.55173645665876e-05,0.00130471488142444,2.61855508130614e-05,2.70350644786288e-05,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"idem",1.77654603919061e-05,0.0114817979120215,0.00837353045584581,2.18871063056753e-05,0.00797020822452826,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,2.46980661414211e-05,0.00992844586397286,2.53556124648191e-05,2.55173645665876e-05,0.00770037606487759,2.61855508130614e-05,2.70350644786288e-05,0.011593281100928,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,4.07514568645829e-05
"unus",0.0151184067935121,2.08381087332514e-05,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,2.41610089637343e-05,2.45164137389983e-05,2.466760403562e-05,0.0160784410580652,2.47592166183862e-05,0.00129313623570577,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,0.0121928140798616,2.89109254387233e-05,3.1018331834114e-05,3.40263363843615e-05,3.42008960634769e-05,0.0163413342026977
"parvus",1.77654603919061e-05,0.0146075142220092,2.08816220844035e-05,2.18871063056753e-05,2.27071459388269e-05,0.00364831235352388,2.45164137389983e-05,2.466760403562e-05,0.00249450468028353,2.47592166183862e-05,0.00763203935191055,2.55173645665876e-05,2.55826447338126e-05,2.61855508130614e-05,0.00813755440806726,2.89109254387233e-05,0.0232947672074196,0.00173534315560244,3.42008960634769e-05,4.07514568645829e-05
