"","τόνον_ϊ_ὁμοίως_ἀσκαλωνίτης_τέλους_λήγοντα_ἐγένετο","διὸς_ζεὺς_αὐτὴν_αὐτῶν_αὐτῆς_ὅθεν_ἱστορία","στικτέον_λόγος_τέλος_ᾖ_ἀρχῆς_στίχου_ἀπ","τί_πῶς_δεῖ_πάλιν_αὐτὸς_πάντων_ῥητέον","οὗτος_ὃς_ὃν_αὐτόν_του_ὥς_ὧν","ὅταν_θεῶν_ἄν_πῶς_ὅτ_αὐτὸς_οὐδ","κε_τοι_μοι_μή_με_ὅς_τίς","τεῖχος_τῶ_σημαίνει_ἀχαιῶν_βέλτιον_λέξις_τρώων","ἦ_πρόθεσιν_ὁμοίως_ᾖ_ἵν_ὑφ_δεῖ","τοι_νεώτεροι_ὅμηρος_οὗ_ἅμα_μοι_οὖ","τρώων_ὑπὸ_ἕκτορα_ἕκτωρ_ὑπ_τῶ_ἕκτορος","εἴρηκεν_ὄνομα_πρότερον_ἕτερον_δεύτερον_πολὺ_κύριον","ἀθετοῦνται_ἕως_στίχοι_τούτου_οὐδ_ἀθετεῖται_τρεῖς","ἵν_ᾖ_ἐλλείπει_ἐὰν_του_μᾶλλον_ἔστιν","ἄλλοι_ἀριστάρχου_ἀρισταρχος_ἀρίσταρχος_ν_χωρὶς_ϊ","πῦρ_ἔν_τισι_ἵππων_ὅσον_αἷμα_διπλῆ","ν_ἀπὸ_σὺν_θ_χωρὶς_πάρ_τὲ","κέχρηται_πάλιν_πάτροκλον_ἐνταῦθα_αὐτὸς_διπλῆ_ἡμεῖς","αὐτὰρ_ἂρ_ζηνοδοτος_οὐδέ_οὔτε_θηλυκῶς_οὐδ","κεν_κ_εἴ_μοι_ἔνθα_ἀλλῷ_μιν"
"αὐτῶν",2.98817876480643e-06,0.00953631251029021,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,0.00445839082506194,7.54705589349595e-06,0.00439211810094698,8.76024949190553e-06,8.72585120678522e-06,0.00175236700319088,0.00484174267587564,0.00355332648070039,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,0.00605007341870969,9.78454433377038e-06,1.05427402690507e-05
"δεῖ",0.00284175800533091,4.33271808736493e-06,0.00203032674095459,0.00908189763493703,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,0.00638491215763798,0.00876900974139743,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.00621167546875554,8.94438382139854e-06,8.89268310034504e-06,0.00046447241398153,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"διὸς",2.98817876480643e-06,0.0125692151714457,6.74527156463319e-06,0.00454443917013375,7.09209798442575e-06,0.00223290455631222,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.00222415198667281,0.00313947872131089,0.000898160993134849,9.10730223493197e-06,9.06601874852677e-06,0.00512072266314753,9.78454433377038e-06,1.05427402690507e-05
"διπλῆ",2.98817876480643e-06,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,0.000749247043812406,0.00378107500264147,7.97117622676402e-06,0.00307484757165884,8.72585120678522e-06,8.71824379696954e-06,0.00879597898103724,0.00399638464537625,0.0049283554855906,8.89268310034504e-06,0.0091164095371669,9.06601874852677e-06,0.0083734503076151,0.00147746619439933,1.05427402690507e-05
"ὥστε",0.00164648649940834,4.33271808736493e-06,0.00270485389741791,0.00245022757099377,7.09209798442575e-06,0.00742570585006157,0.00491313338666586,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,0.00262419138288783,0.00747790021265004,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,0.00319666308446112,9.06601874852677e-06,0.00465604728536644,0.000499011761022289,1.05427402690507e-05
"μᾶλλον",0.00254294012885027,4.33271808736493e-06,0.00135579958449127,0.00454443917013375,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,0.00439211810094698,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.00399638464537625,0.0116366433516395,8.89268310034504e-06,9.10730223493197e-06,0.00182226976845388,9.29350755562164e-06,0.00734819279466155,1.05427402690507e-05
"ἀριστάρχου",0.0013476686229277,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,0.00307484757165884,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,0.0297993810692562,9.10730223493197e-06,0.00182226976845388,9.29350755562164e-06,0.00490205671121896,1.05427402690507e-05
"οὐδ",2.98817876480643e-06,4.33271808736493e-06,0.00270485389741791,6.98070533046659e-06,7.09209798442575e-06,0.00965119211881129,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.0133006061035693,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,0.00182226976845388,9.29350755562164e-06,0.0137081466116123,0.000537679753721587
"χωρὶς",0.00164648649940834,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,0.0231298687439974,0.00501812353144751,0.0104349875795543,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"τῶ",2.98817876480643e-06,0.000437604526823858,6.74527156463319e-06,6.98070533046659e-06,0.00107090679564829,0.000749247043812406,7.54705589349595e-06,0.0115661767050346,0.00132279767327773,8.72585120678522e-06,0.00785513766106955,8.78719178924799e-06,0.000451919327969376,0.00850610901415002,0.00801230747341088,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ζεὺς",0.000899441808206734,0.0119193074583409,6.74527156463319e-06,0.00175215703794711,0.00107090679564829,0.00149107580006231,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,0.00480375233213022,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,0.000462366956174865,9.29350755562164e-06,9.78454433377038e-06,0.00475477586134188
"μετὰ",0.00149707756116802,0.00303723537924281,0.0077638075708928,0.0027992628375171,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,0.00523966452197869,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,0.00489986838829011,0.00501812353144751,9.06601874852677e-06,9.29350755562164e-06,0.00245592062777636,1.05427402690507e-05
"ὃς",2.98817876480643e-06,0.00195405585740158,0.00337938105388123,6.98070533046659e-06,0.0138366831676146,7.41828756249907e-06,0.00755460294938944,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,0.00744409955205294,9.78454433377038e-06,1.05427402690507e-05
"οὐδέ",2.98817876480643e-06,4.33271808736493e-06,6.74527156463319e-06,0.00524250970318041,7.09209798442575e-06,0.00853844898443643,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.0044394428100521,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,0.00744409955205294,0.0146866010449893,1.05427402690507e-05
"ὑπὸ",2.98817876480643e-06,0.00433705080545229,6.74527156463319e-06,0.00314829810404043,0.00284393129175473,0.00779662022818652,0.000762252645243091,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,0.0122142595595543,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,0.00294514784446488,1.05427402690507e-05
"ἔστιν",0.00224412225236963,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,0.00189431102926748,7.97117622676402e-06,0.00482689747003995,0.00306277377358161,8.71824379696954e-06,8.78719178924799e-06,0.00399638464537625,0.00940054739628987,0.00756767331839363,9.10730223493197e-06,0.00363547351815924,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ἕως",2.98817876480643e-06,4.33271808736493e-06,0.00978738904028276,6.98070533046659e-06,0.00248932639253344,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,0.000880542623493923,8.78719178924799e-06,0.0181742459150037,0.000903382765961253,8.89268310034504e-06,0.00456275841970092,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"στικτέον",2.98817876480643e-06,4.33271808736493e-06,0.0253015136389391,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.00716445144094023,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"γίνεται",0.00314057588181155,0.000654240431192104,0.00304211747564957,6.98070533046659e-06,7.09209798442575e-06,0.0055711339594368,7.54705589349595e-06,0.00279788285559417,0.00438888499544467,8.72585120678522e-06,0.00523966452197869,0.00132686596017645,8.86116329351717e-06,0.00179782114810111,8.89268310034504e-06,0.00274129797271452,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"πρότερον",0.000899441808206734,0.00520359442292528,0.00540296252327119,6.98070533046659e-06,7.09209798442575e-06,0.00149107580006231,7.54705589349595e-06,0.00200076523291777,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,0.0136289344651236,8.86116329351717e-06,0.00179782114810111,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ἄρα",0.00373821163477284,4.33271808736493e-06,0.00203032674095459,0.0062896155027504,7.09209798442575e-06,0.00742570585006157,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.0066547336334314,8.94438382139854e-06,0.0013427951481521,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,0.000988238977710808,1.05427402690507e-05
"αὐτὸ",0.00448525632597445,4.33271808736493e-06,6.74527156463319e-06,0.00314829810404043,7.09209798442575e-06,0.00631296271568671,7.54705589349595e-06,0.000805088798903166,8.76024949190553e-06,0.00262648121324235,8.71824379696954e-06,0.00264494472856365,8.86116329351717e-06,0.00448113629452067,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,0.00441282949453044,1.05427402690507e-05
"ἀρισταρχος",0.00119825968468738,4.33271808736493e-06,0.000344008849796293,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,0.000444630433645446,8.78719178924799e-06,8.86116329351717e-06,0.00269225953024096,0.0253530395190837,9.10730223493197e-06,0.00136896883102754,9.29350755562164e-06,9.78454433377038e-06,0.00580904988824695
"λόγον",0.00224412225236963,4.33271808736493e-06,0.00270485389741791,0.00768575656884372,7.09209798442575e-06,0.00149107580006231,7.54705589349595e-06,0.00479067691228518,8.76024949190553e-06,0.00480794401493866,8.71824379696954e-06,8.78719178924799e-06,0.00133803565732109,0.00448113629452067,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ὅπερ",0.00328998482005187,4.33271808736493e-06,0.00304211747564957,0.00314829810404043,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,0.00797914740299079,8.76024949190553e-06,0.00349906633392087,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.00537557467666052,8.89268310034504e-06,9.10730223493197e-06,0.00182226976845388,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"οὔτε",2.98817876480643e-06,4.33271808736493e-06,0.000344008849796293,0.00733672130232039,7.09209798442575e-06,0.00371656206881204,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,0.00790877492983402,0.0146866010449893,0.00264622780753173
"οὗτος",2.98817876480643e-06,4.33271808736493e-06,0.00641475325796617,0.000705051238377126,0.0145458929660572,0.00297473331256213,7.54705589349595e-06,7.97117622676402e-06,0.000446772724087182,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,0.00576861730407968,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"ὅμηρος",2.98817876480643e-06,0.00195405585740158,6.74527156463319e-06,0.00663865076927373,7.09209798442575e-06,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,8.76024949190553e-06,0.0117886249803668,8.71824379696954e-06,0.00396302349695084,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,0.00410739330795432,0.0031821725807329,9.29350755562164e-06,0.00147746619439933,1.05427402690507e-05
"σὺν",0.00164648649940834,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,0.000361696997205713,7.41828756249907e-06,7.54705589349595e-06,7.97117622676402e-06,0.00263683509706356,8.72585120678522e-06,0.00349601576258478,0.00308430431802605,8.86116329351717e-06,8.94438382139854e-06,0.0102354782484971,9.10730223493197e-06,0.011341589454407,9.29350755562164e-06,0.000988238977710808,1.05427402690507e-05
"θεῶν",2.98817876480643e-06,0.0071533175622395,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,0.0133603359000608,7.54705589349595e-06,0.00239932404425597,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,0.00274129797271452,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"τρώων",0.000152397117005128,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,0.00705479147193662,7.54705589349595e-06,0.00917482383700539,8.76024949190553e-06,8.72585120678522e-06,0.0165733814580391,8.78719178924799e-06,8.86116329351717e-06,8.94438382139854e-06,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,1.05427402690507e-05
"εἴ",0.0020947133141293,4.33271808736493e-06,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,7.41828756249907e-06,0.00566783897601546,7.97117622676402e-06,8.76024949190553e-06,8.72585120678522e-06,8.71824379696954e-06,8.78719178924799e-06,8.86116329351717e-06,0.00537557467666052,8.89268310034504e-06,0.000919837525728129,9.06601874852677e-06,9.29350755562164e-06,9.78454433377038e-06,0.0195146122380129
"σημαίνει",0.00314057588181155,0.000220968622455611,6.74527156463319e-06,6.98070533046659e-06,7.09209798442575e-06,0.00408747644693699,7.54705589349595e-06,0.0107690590823582,8.76024949190553e-06,8.72585120678522e-06,0.0013164548133424,8.78719178924799e-06,8.86116329351717e-06,0.000903382765961253,8.89268310034504e-06,9.10730223493197e-06,9.06601874852677e-06,0.00651474879649077,9.78454433377038e-06,1.05427402690507e-05
