"","form","lemmata"
"αὖτις","αὖτις","αὖθις"
"αὐτίχ̓","αὐτίχ̓","αὐτίχ̓"
"αὐτοί","αὐτοί","αὐτός"
"αὐτοὶ","αὐτοὶ","αὐτός"
"αὐτοῖο","αὐτοῖο","αὐτός"
"αὐτοῖσι","αὐτοῖσι","αὐτός"
"αὐτὸν","αὐτὸν","αὐτός"
"αὐτός","αὐτός","αὐτός"
"αὐτὸς","αὐτὸς","αὐτός"
"αὐτοῦ","αὐτοῦ","αὐτός;αὐτοῦ"
"αὐτοὺς","αὐτοὺς","αὐτός"
"αὐτὼ","αὐτὼ","αὐτός"
"αὐτῶν","αὐτῶν","αὐτός"
"αὔτως","αὔτως","αὔτως"
"ἀφαιρεῖται","ἀφαιρεῖται","ἀφαιρέω"
"ἀφαιρήσεσθαι","ἀφαιρήσεσθαι","ἀφαιρέω"
"ἄφαρ","ἄφαρ","ἄφαρ"
"ἀφέλεσθέ","ἀφέλεσθέ","ἀφαιρέω"
"ἄφενος","ἄφενος","ἄφενος"
"ἀφίει","ἀφίει","ἀφίημι"
"ἀφύξειν","ἀφύξειν","ἀφύσσω"
"ἀφύσσων","ἀφύσσων","ἀφύσσω"
"ἀχαιΐδα","ἀχαιΐδα","ἀχαιΐδα"
"ἀχαιοί","ἀχαιοί","ἀχαιοί"
"ἀχαιοὶ","ἀχαιοὶ","ἀχαιοὶ"
"ἀχαιοῖς","ἀχαιοῖς","ἀχαιοῖς"
"ἀχαιοῖσιν","ἀχαιοῖσιν","ἀχαιοῖσιν"
"ἀχαιούς","ἀχαιούς","ἀχαιούς"
"ἀχαιοὺς","ἀχαιοὺς","ἀχαιοὺς"
"ἀχαιῶν","ἀχαιῶν","ἀχαιά"
"ἀχιλεῦ","ἀχιλεῦ","ἀχιλεῦ"
"ἀχιλεύς","ἀχιλεύς","ἀχιλεύς"
"ἀχιλῆα","ἀχιλῆα","ἀχιλῆα"
"ἀχιλῆϊ","ἀχιλῆϊ","ἀχιλῆϊ"
"ἀχιλῆος","ἀχιλῆος","ἀχιλῆος"
"ἀχιλλεῦ","ἀχιλλεῦ","ἀχιλλεῦ"
"ἀχιλλεύς","ἀχιλλεύς","ἀχιλλεύς"
"ἀχιλλεὺς","ἀχιλλεὺς","ἀχιλλεὺς"
"ἀχιλλῆϊ","ἀχιλλῆϊ","ἀχιλλῆϊ"
"ἀχιλλῆος","ἀχιλλῆος","ἀχιλλῆος"
"ἀχνύμενος","ἀχνύμενος","ἀχεύω"
"ἀχνύμενός","ἀχνύμενός","ἀχεύω"
"ἄχος","ἄχος","ἄχος"
"ἂψ","ἂψ","ἄψ"
"βαθεῖαν","βαθεῖαν","βαθύς"
"βαῖνον","βαῖνον","βαίνω"
"βάλε","βάλε","βάλλω"
"βάλλ̓","βάλλ̓","βάλλ̓"
"βάλλεο","βάλλεο","βάλλω"
"βάλλον","βάλλον","βάλλω"
"βαρεῖαν","βαρεῖαν","βαρύς"
"βαρείας","βαρείας","βαρύς"
"βαρὺ","βαρὺ","βαρύς"
"βασιλεύς","βασιλεύς","βασιλεύς"
"βασιλεὺς","βασιλεὺς","βασιλεύς"
"βασιλῆα","βασιλῆα","βασιλεύς"
"βασιλῆϊ","βασιλῆϊ","βασιλεύς"
"βασιλῆος","βασιλῆος","βασιλεύς"
"βασιλήων","βασιλήων","βασιλεύς"
"βάτην","βάτην","βάτης;βαίνω"
"βεβήκει","βεβήκει","βαίνω"
"βέλεσσιν","βέλεσσιν","βέλος"
"βέλος","βέλος","βέλος"
"βένθεσσιν","βένθεσσιν","βένθος"
"βῆ","βῆ","βαίνω;βῆ"
"βηλοῦ","βηλοῦ","βηλός"
"βῆσαν","βῆσαν","βαίνω"
"βῆσε","βῆσε","βαίνω"
"βήσομεν","βήσομεν","βαίνω"
