"","form","lemmata"
"apelletem","apelletem","apelletem"
"aper","aper","aper"
"aperta","aperta","apertare;apertum;apertus;aperire"
"aperto","aperto","apertare;apertum;apertus;aperire"
"aperuit","aperuit","aperire"
"apes","apes","apis"
"apoculamus","apoculamus","apoculare"
"apoculo","apoculo","apoculare"
"apophoreta","apophoreta","apophoreta;apophoretus"
"apophoreti","apophoreti","apophoretus"
"apparatu","apparatu","apparare;apparatus"
"apparatus","apparatus","apparare;apparatus"
"apparent","apparent","apparare;apparere;apparet"
"appareret","appareret","apparere;apparet"
"appellabat","appellabat","appellare"
"appellando","appellando","appellare"
"appellatur","appellatur","appellare;appellere"
"appellavit","appellavit","appellare"
"appetere","appetere","appetere"
"applicat","applicat","applicare"
"appositaque","appositaque","apponere;appositum;appositus"
"approbaret","approbaret","approbare"
"approbari","approbari","approbare"
"apri","apri","aper"
"apro","apro","aper"
"apros","apros","aper"
"aprum","aprum","aper"
"aptatam","aptatam","aptare"
"apud","apud","apud"
"apuliae","apuliae","apuliae"
"aqua","aqua","aqua"
"aquam","aquam","aqua"
"aquario","aquario","aquarius"
"aquarium","aquarium","aquarius"
"aratumque","aratumque","arare;aratus"
"arbitratu","arbitratu","arbitrare;arbitratus"
"arcam","arcam","arca"
"arcisellium","arcisellium","arcisellium"
"arcum","arcum","arcus"
"ardentes","ardentes","ardens;ardere"
"ardere","ardere","ardere"
"area","area","area"
"argentea","argentea","argenteus"
"argenteam","argenteam","argenteus"
"argenteas","argenteas","argenteus"
"argentei","argentei","argenteus"
"argenteo","argenteo","argenteus"
"argenteosque","argenteosque","argenteus"
"argenti","argenti","argentius;argentum"
"argento","argento","argentum"
"argentum","argentum","argentum"
"argentumque","argentumque","argentum"
"argumentum","argumentum","argumentum"
"argutas","argutas","argutare;argutus;arguere"
"argutat","argutat","argutare"
"aries","aries","aries"
"arietem","arietem","aries;arietare"
"arietes","arietes","aries;arietare"
"arietilli","arietilli","arietillus"
"arietinum","arietinum","arietinus"
"armarium","armarium","armarium;armarius"
"armilla","armilla","armilla;armillum"
"armillam","armillam","armilla"
"armillas","armillas","armilla"
"arripuit","arripuit","arripere"
"articuli","articuli","articulus"
"articulo","articulo","articulare;articulus"
"artificia","artificia","artifex;artificium"
"artificii","artificii","artificium"
"artificium","artificium","artifex;artificium"
"ascendere","ascendere","ascendere"
"asciam","asciam","ascire;ascia;ascius"
"ascylti","ascylti","ascylti"
"ascylton","ascylton","ascylton"
"ascyltos","ascyltos","ascyltos"
"asellum","asellum","asellus"
"asellus","asellus","asellus"
"asia","asia","asia"
"asiadis","asiadis","asiadis"
"asinum","asinum","asinus"
"asinus","asinus","asinus"
"asse","asse","assis;assus;as"
"assem","assem","assare;assis;as"
"assentemur","assentemur","assentari"
"assignari","assignari","assignare"
"assurgere","assurgere","assurgere"
"at","at","at"
"atellaniam","atellaniam","atellaniam"
"atellanicos","atellanicos","atellanicos"
"athana","athana","athana"
"athenis","athenis","athenis"
"athla","athla","athla;athlon"
"atque","atque","atque;at"
"atqui","atqui","atqui"
"atriense","atriense","atriensis"
"atriensem","atriensem","atriensis"
"atriensis","atriensis","atriensis"
"atrio","atrio","atrium"
"atticum","atticum","atticum"
"attinet","attinet","attinere"
"attonitis","attonitis","attonare;attonitus"
"attulerit","attulerit","adferre;afferre"
"attulerunt","attulerunt","adferre;afferre"
"attuli","attuli","adferre;afferre;attulere"
"attulit","attulit","adferre;afferre;attulere"
"au","au","au"
"auctionem","auctionem","auctio"
"aucupes","aucupes","auceps;aucupare"
"audacter","audacter","audacter"
"audaculum","audaculum","audaculus"
"audimus","audimus","audire"
"audivi","audivi","audire"
"audivit","audivit","audire"
"auferet","auferet","auferre"
"auferre","auferre","auferre"
"auferretur","auferretur","auferre"
"aufert","aufert","auferre"
"augustali","augustali","augustali"
"augusto","augusto","augustare;augustus"
"aurea","aurea","aureus"
"aureae","aureae","aureus"
"auream","auream","aureus"
"aureas","aureas","aureus"
"aureis","aureis","aureus"
"aurem","aurem","aurare;auris"
"aureo","aureo","aureus"
"aureolam","aureolam","aureolus"
"aureos","aureos","aureus"
"aures","aures","aurare;auris"
"aureum","aureum","aureus"
"auri","auri","auris;aurum"
"auriculas","auriculas","auricula"
"aurum","aurum","aurum"
"aut","aut","aut"
"autem","autem","autem"
"automatum","automatum","automatum;automatus"
"autopyrum","autopyrum","autopyrus"
"ave","ave","avere;ave;avis;avos;avus;a"
"aves","aves","avere;avis"
"avidius","avidius","avidus"
"avis","avis","ava;avis;avos;avus"
"avium","avium","avis;avium;avius"
"avocatus","avocatus","avocare"
"babae","babae","babae"
"babaecalis","babaecalis","babaecalus"
"babylonico","babylonico","babylonico"
"bacalusias","bacalusias","bacalusiae"
"bacam","bacam","baca"
"bacciballum","bacciballum","bacciballum"
"baias","baias","baia"
"balatum","balatum","balare;balatus"
"baliscus","baliscus","baliscus"
"balnea","balnea","balneare;balnea;balneum"
"balneatoris","balneatoris","balneator"
"balnei","balnei","balneum;balneus"
"balneo","balneo","balneare;balneum;balneus"
"balneum","balneum","balneum;balneus"
"balneus","balneus","balneus"
"barbam","barbam","barba"
"barbariae","barbariae","barbaria"
"barbatoriam","barbatoriam","barbatoria"
"barbatum","barbatum","barbatus"
"barbatus","barbatus","barbatus"
"barcalae","barcalae","barcala"
"baro","baro","baro"
"basia","basia","basiare;basium"
"basiarent","basiarent","basiare"
"basiavi","basiavi","basiare"
"basiavit","basiavit","basiare"
"basiet","basiet","basiare"
"basilica","basilica","basilica;basilice;basilicon;basilicum;basilicus"
"beatior","beatior","beatus"
"beatitudo","beatitudo","beatitudo"
"bella","bella","bellare;bellum;bellus"
"belle","belle","belle;bellus"
"belli","belli","bellis;bellum;bellus"
"bellissimum","bellissimum","bellus"
"bellum","bellum","bellum;bellus"
"bellus","bellus","bellus"
"bene","bene","bene;bonus"
"beneficio","beneficio","beneficium"
"beneficium","beneficium","beneficium"
"benemoria","benemoria","benemoria"
"benignus","benignus","benignus"
"besalis","besalis","besalis"
"bestiae","bestiae","bestia;bestius"
"bestiarios","bestiarios","bestiarius"
"bestias","bestias","bestia;bestius"
"betae","betae","beta"
"betam","betam","beta;betere"
"biberunt","biberunt","bibere"
"bibit","bibit","bibere"
"bifurcum","bifurcum","bifurcum;bifurcus"
"bigae","bigae","bigae;biga;bigus"
"bilychnis","bilychnis","bilychnis"
"bimum","bimum","bimus"
"binos","binos","bini"
"bis","bis","bis"
"bisaccio","bisaccio","bisaccium"
"boletorum","boletorum","boletus"
"bona","bona","bonum;bonus"
"bonae","bonae","bonus"
"bonam","bonam","bonus"
"bonamque","bonamque","bonus"
"bonatus","bonatus","bonatus"
"boni","boni","bonum;bonus"
"bonis","bonis","bonum;bonus"
"bono","bono","bonum;bonus"
"bonorum","bonorum","bonum;bonus"
"bonum","bonum","bonum;bonus"
"bonus","bonus","bonus"
"botulis","botulis","botulus"
"bovem","bovem","bos;bovare"
"boves","boves","bos;bovare"
"bovis","bovis","bos;bova"
"brachium","brachium","brachium"
"bromium","bromium","bromium"
"bublum","bublum","bublus"
"bubulae","bubulae","bubula;bubulus"
"bubulci","bubulci","bubulcus"
"bucca","bucca","bucca"
"buccae","buccae","bucca"
"buccam","buccam","bucca"
"bucinatorem","bucinatorem","bucinator"
"bucinus","bucinus","bucinus"
"bulla","bulla","bullare;bulla"
"bullae","bullae","bulla"
"bullatos","bullatos","bullatus"
"burdubasta","burdubasta","burdubasta"
"buxea","buxea","buxeus"
"buxeos","buxeos","buxeus"
"bybliothecas","bybliothecas","bybliotheca"
"c","c","c"
"cacatum","cacatum","cacare"
"caccabo","caccabo","caccabus"
"caccabum","caccabum","caccabus"
"caduceum","caduceum","caduceum;caduceus"
"caede","caede","caedere;caedes;caedis"
"caedit","caedit","caedere"
"caelo","caelo","caelare;caelum;caelus"
"caelum","caelum","caelum;caelus"
"caelus","caelus","caelus"
"caepa","caepa","caepa"
"caesar","caesar","caesar"
"caesarem","caesarem","caesarem"
"caesari","caesari","caesari"
"caespes","caespes","caespes"
"caespitem","caespitem","caespes;caespis;caespitare"
"caesus","caesus","caedere;caesus"
"calathisco","calathisco","calathiscus"
"calce","calce","calces;calcis;calcus;calx"
"calcem","calcem","calcare;calces;calcis;calx"
"calcitrosi","calcitrosi","calcitrosus"
"calculis","calculis","calculum;calculus"
"calda","calda","calda;caldum;caldus"
"caldam","caldam","calda;caldus"
"caldicerebrius","caldicerebrius","caldicerebrius"
"caldum","caldum","caldum;caldus"
"calet","calet","calare;calere"
"calfacti","calfacti","calfacere;calficere"
"calfecit","calfecit","calfacere;calficere"
"calicem","calicem","calicare;calix"
"calicesque","calicesque","calicare;calix"
"caligaria","caligaria","caligaris;caligarius"
"caligas","caligas","caligare;caliga"
"calvae","calvae","calva;calvus"
"calvum","calvum","calvus"
"camellam","camellam","camella"
"camera","camera","camerare;camera"
"cameram","cameram","camera"
"cameramos","cameramos","cameramos"
"canale","canale","canale;canalis"
"cancer","cancer","cancer"
"cancro","cancro","cancer"
"cancrum","cancrum","cancer"
"candelabrum","candelabrum","candelabrum;candelaber"
"candelabrus","candelabrus","candelabrus"
"candidas","candidas","candidare;candidus"
"candidum","candidum","candidus"
"cane","cane","canere;canes;canis;canus"
"canem","canem","canes;canis"
"canes","canes","canere;canes;canis"
"caninam","caninam","caninus"
"canino","canino","caninus"
"canis","canis","canere;canes;canis;cani;canus"
"canora","canora","canorum;canorus"
"cantabant","cantabant","cantare"
"cantabundus","cantabundus","cantabundus"
"cantando","cantando","cantare"
"cantante","cantante","cantare"
"cantare","cantare","cantare;cantarus"
"cantaret","cantaret","cantare"
"cantavit","cantavit","cantare"
"cantica","cantica","cantica;canticum;canticus"
"cantico","cantico","canticum;canticus"
"canticum","canticum","canticum;canticus"
"canturire","canturire","canturire"
"capaciorem","capaciorem","capax"
"capides","capides","capis"
"capillati","capillati","capillati;capillatus"
"capillatos","capillatos","capillati;capillatus"
"capillatus","capillatus","capillatus"
"capillis","capillis","capillus"
"capillos","capillos","capillus"
"capistris","capistris","capistrum;capister"
"capit","capit","capere"
"capite","capite","capere;caput"
"capitique","capitique","capitium;capitum;caput"
"capo","capo","capo;capus"
"cappadocem","cappadocem","cappadocem"
"capricorno","capricorno","capricornus"
"capricornum","capricornum","capricornus"
"capsellam","capsellam","capsella"
"captum","captum","captus;capere"
"capuam","capuam","capuam"
"caput","caput","caput"
"cara","cara","carum;carus"
"carbunculis","carbunculis","carbunculus"
"carchedonios","carchedonios","carchedonios"
"cardeles","cardeles","cardeles"
"caricae","caricae","carica"
"cario","cario","cario"
"carioni","carioni","carioni"
"carissime","carissime","carus"
"carminis","carminis","carmen"
"carnarium","carnarium","carnarium;carnarius"
"carne","carne","carnis;caro"
"carpe","carpe","carpere"
"carpit","carpit","carpere"
"carpus","carpus","carpus"
"caryotas","caryotas","caryota"
"caryotis","caryotis","caryota;caryotis;caryotum"
"casam","casam","casa"
"caseum","caseum","caseus"
"cassandra","cassandra","cassandra"
"castigamus","castigamus","castigare"
"casula","casula","casula"
"casulas","casulas","casula"
"casum","casum","casus"
"cataphagae","cataphagae","cataphagas"
"catastropha","catastropha","catastropha;catastrophe"
"catellam","catellam","catella"
"catena","catena","catenare;catena"
"catenarius","catenarius","catenarius"
"catenatio","catenatio","catenatio"
"catilla","catilla","catillare;catillum"
"catillis","catillis","catillum;catillus"
"catillum","catillum","catillum;catillus"
"cauniarum","cauniarum","cauniarum"
"causa","causa","causare;causa"
"causas","causas","causare;causa"
"causidicum","causidicum","causidicus"
"cave","cave","cavere;cavus"
"cavea","cavea","cavea"
"caveam","caveam","cavere;cavea"
"ceciderat","ceciderat","cadere;caedere"
"ceciderit","ceciderit","cadere;caedere"
"cecidi","cecidi","cadere;caedere"
"cecidissent","cecidissent","cadere;caedere"
"cel","cel","cel"
"celeritatem","celeritatem","celeritas"
"celerius","celerius","celer"
"cella","cella","cella"
"cena","cena","cenare;cena;cenum"
"cenabant","cenabant","cenare"
"cenaculum","cenaculum","cenaculum"
"cenae","cenae","cena"
"cenam","cenam","cena"
"cenandum","cenandum","cenare;cenari"
"cenantibus","cenantibus","cenare;cenari"
"cenare","cenare","cenare;cenari"
"cenarum","cenarum","cena"
"cenasse","cenasse","cenare"
"cenastis","cenastis","cenare"
"cenat","cenat","cenare"
"cenationem","cenationem","cenatio"
"cenationes","cenationes","cenatio"
"cenatoria","cenatoria","cenatoria;cenatorium;cenatorius"
"cenaveram","cenaveram","cenare"
"cenemus","cenemus","cenare"
"centies","centies","centies"
"centonarius","centonarius","centonarius"
"centum","centum","centum"
"cepi","cepi","capere;cepe"
"cerasina","cerasina","cerasinus"
"cerasino","cerasino","cerasinus"
"cerdonem","cerdonem","cerdo"
"cerebellum","cerebellum","cerebellum"
"cerebrum","cerebrum","cerebrum"
"certe","certe","certe;certus"
