"","Caesar_legionibus_legiones_His_Ipse_ipse_mittit","hostium_hostes_nostri_castra_proelio_equitum_equites","oppido_castra_oppidum_clamore_fuga_die_copiis","castris_locum_milites_hostium_suos_nostris_tela","propter_Caesar_tempore_omnia_exercitum_enim_rei","bellum_Galliae_sua_apud_quid_sit_Romano","partem_parte_naves_erant_omni_esset_quibus","Romani_populi_Galliam_uti_Germanorum_sese_rei","castris_castra_Caesar_copias_die_hostium_hostes","fines_bellum_Rhenum_finibus_trans_magna_pars","nostros_equites_facto_consilio_proelio_proelium_Quo","sine_periculo_tanta_posset_loci_locum_ipse","iam_quidem_res_nostri_virtute_milites_ipsi","flumen_fines_exercitum_Caesar_copiis_iter_pervenit","Caesar_His_naves_iubet_quid_fieri_locum","Caesarem_legatos_obsides_Caesar_celeriter_ei_His","rem_uti_militum_pro_Caesarem_sese_eam","parte_pedum_natura_possent_autem_passuum_fluminis","Caesar_Cum_quem_esset_equitatum_armis_Germanos","quos_bello_hoc_Itaque_illi_etiam_res","Galliae_fidem_belli_contra_C_Caesaris_fuit","suos_quorum_fere_summam_omnium_haec_reliquis","milia_una_pro_esset_cuius_hominum_numero","Caesar_eodem_fore_Haec_longius_tempore_nihil","passuum_milia_circiter_milibus_castris_castra_longius"
"fines",0.00120550953665465,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,0.0303290559428783,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,0.0181263150632955,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,0.00519862474628226,2.06262117899427e-05,0.00315358589866756,2.13529210796037e-05,0.00333834453484259
"quid",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,0.0158206888246628,1.58523826131067e-05,0.00318380536019768,0.00329065845912053,1.68401199016537e-05,0.00845826580226904,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,0.0165731414032275,1.74422660992116e-05,0.00500179347176278,0.00606463571889104,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,0.0011275203395826
"posse",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.0119942499475907,1.50529865125241e-05,1.58523826131067e-05,0.0118957105746689,1.63714351200026e-05,0.00338486410023239,1.68827660723933e-05,0.00774488253881027,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,0.0129727790841338,2.01482914248872e-05,0.00412883612012653,2.06902259372672e-05,2.07116523756265e-05,0.00620848974877274,0.00210935215738691,2.13529210796037e-05,2.21082419525999e-05
"proelio",1.19357379866797e-05,0.0188225494411006,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.00656494548312105,0.00338486410023239,0.0143672339276067,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,0.0113183517521877,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,0.00108899897505979,2.21082419525999e-05
"Romani",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,0.00377829961464354,0.000808471513268444,0.0451593486662865,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,0.00516897925539222,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"legiones",0.0208994772146762,0.00538746775580395,0.00681799624397812,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.00410923021512066,1.68401199016537e-05,0.00845826580226904,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"possent",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.00375849779880806,1.50529865125241e-05,0.0119051393424432,1.5839827662675e-05,0.00410923021512066,1.68401199016537e-05,0.00423757428417072,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,0.00785960754243491,0.00350589548594153,1.99274640309274e-05,0.0151313668600903,0.00412883612012653,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,0.0062862871225095,2.13529210796037e-05,2.21082419525999e-05
"suos",1.19357379866797e-05,0.00337220550300946,1.36087749380801e-05,0.0126107702794819,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,0.00759489407564582,0.00761412749864938,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,0.0113549152305868,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,0.0154902850542469,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"uti",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,0.0105521435452794,0.00239370977457912,0.0134796933409364,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,0.0113450210867519,1.74422660992116e-05,0.0169582718903192,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,0.00311455798028134,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"propter",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.0284657542451559,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,0.00506887609039776,0.000861021069692058,0.00860351696661629,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,0.00208971281966399,0.00934095522140756,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"die",1.19357379866797e-05,1.34350816852966e-05,0.0109006287254021,1.48187664858777e-05,0.00151238357641281,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.0237549523591238,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,0.00519126625504467,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,0.0132870534135126
"res",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,0.0120574421965318,0.00318632890523446,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,0.00860351696661629,0.016261413768339,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,0.0114003144914342,0.00519862474628226,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"numero",0.00597980473132654,0.00605922184006879,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,0.00714942455851114,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,0.00873096092851417,1.74422660992116e-05,0.0119764058825874,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,0.0146401570527547,2.13529210796037e-05,2.21082419525999e-05
"rei",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.0127429546883891,0.00754154624277457,1.58523826131067e-05,0.0126877019578027,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,0.00688624811100426,1.70992784104511e-05,1.72467317443344e-05,0.00350284061203862,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,0.00930242151726414,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"milites",1.19357379866797e-05,0.00337220550300946,1.36087749380801e-05,0.0155745235766575,1.49740948159684e-05,1.50529865125241e-05,0.00477156716654513,1.5839827662675e-05,0.00492780197112079,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,0.0136965220067713,1.72467317443344e-05,0.00611690077027639,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,0.00215664502903997,2.21082419525999e-05
"tempore",1.19357379866797e-05,0.000685189165950129,1.36087749380801e-05,1.48187664858777e-05,0.0217274115779701,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.00902066075112144,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,0.00934095522140756,2.06262117899427e-05,2.0884674825613e-05,0.013900751622822,2.21082419525999e-05
"exercitum",0.00657659163066052,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.0157377736515828,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,0.00738351723912118,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,0.0164016418888621,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,0.00208324739078421,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"iam",1.19357379866797e-05,1.34350816852966e-05,0.000694047521842084,0.0103879553066003,1.49740948159684e-05,1.50529865125241e-05,0.00635680542785581,1.5839827662675e-05,1.63714351200026e-05,0.00338486410023239,0.00339343598055105,1.71726885561203e-05,0.0196812694504292,1.72467317443344e-05,1.74270677215852e-05,0.00176166887602037,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,0.0062862871225095,2.13529210796037e-05,2.21082419525999e-05
"militum",1.19357379866797e-05,0.00740273000859845,1.36087749380801e-05,0.00520138703654308,1.49740948159684e-05,1.50529865125241e-05,0.00239370977457912,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,0.00774488253881027,1.70992784104511e-05,1.72467317443344e-05,0.00611690077027639,1.74422660992116e-05,0.0169582718903192,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,0.00749487529894089,0.0011275203395826
"nostri",1.19357379866797e-05,0.0228530739466896,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,0.00397894803588979,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,0.00508171258779038,1.71726885561203e-05,0.0145514859272939,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"ante",1.19357379866797e-05,1.34350816852966e-05,0.00613755749707411,1.48187664858777e-05,0.00600461202120332,0.00302565028901734,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,1.68401199016537e-05,1.68827660723933e-05,1.71726885561203e-05,0.00685681064259088,0.00519126625504467,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,0.00823713076701861,0.00829678060084416,0.00934095522140756,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"Gallia",0.00717337852999451,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,0.00603624759152216,1.58523826131067e-05,0.0111037191915352,1.63714351200026e-05,0.0101209120608939,1.68827660723933e-05,1.71726885561203e-05,1.70992784104511e-05,1.72467317443344e-05,0.00263148722595936,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,0.0104632220876321,0.00108899897505979,2.21082419525999e-05
"posset",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,0.00675331676200174,0.00979949421965318,1.58523826131067e-05,0.00951973642526769,1.63714351200026e-05,1.68401199016537e-05,0.000861021069692058,0.0120380546778404,0.00600184672206833,1.72467317443344e-05,0.0017601338398801,1.74422660992116e-05,1.99274640309274e-05,0.0020349774339136,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"magna",1.19357379866797e-05,1.34350816852966e-05,0.00477668000326611,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,0.0111125202117878,1.5839827662675e-05,1.63714351200026e-05,0.01517294803139,1.68827660723933e-05,0.00688624811100426,0.00172702711945556,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,0.00908687943262411,0.00104761513495748,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
"sine",1.19357379866797e-05,1.34350816852966e-05,1.36087749380801e-05,1.48187664858777e-05,1.49740948159684e-05,1.50529865125241e-05,1.58523826131067e-05,1.5839827662675e-05,1.63714351200026e-05,0.0126469300461419,1.68827660723933e-05,0.0377970875120209,1.70992784104511e-05,1.72467317443344e-05,1.74270677215852e-05,1.74422660992116e-05,1.99274640309274e-05,2.01482914248872e-05,2.05414732344604e-05,2.06902259372672e-05,2.07116523756265e-05,2.06262117899427e-05,2.0884674825613e-05,2.13529210796037e-05,2.21082419525999e-05
