"","form","lemmata"
"anathymiasis","anathymiasis","anathymiasis<n>"
"anatinam","anatinam","anatina<n>;anatinus<adj>"
"angulo","angulo","angulare<v>;angulus<n>"
"angulos","angulos","angulus<n>"
"angustiis","angustiis","angustiae<n>;angustia<n>"
"angusto","angusto","angustare<v>;angustum<n>;angustus<adj>"
"angustum","angustum","angustum<n>;angustus<adj>"
"anima","anima","animare<v>;anima<n>"
"animadvertisset","animadvertisset","animadvertere<v>"
"animadvertit","animadvertit","animadvertere<v>"
"animalia","animalia","animalis<adj>;animal<n>"
"animam","animam","anima<n>"
"animi","animi","animus<n>"
"animum","animum","animus<n>"
"annis","annis","annus<n>"
"anno","anno","annare<v>;annus<n>"
"annona","annona","annonare<v>;annona<n>"
"annorum","annorum","annus<n>"
"annos","annos","annus<n>"
"annum","annum","annus<n>"
"anser","anser","anser<n>"
"anserem","anserem","anser<n>"
"anserina","anserina","anserinus<adj>"
"ante","ante","ante<adv>;ante<prep>"
"antea","antea","antea<adv>"
"antiquus","antiquus","antiquus<adj>"
"anulis","anulis","anulus<n>"
"anulos","anulos","anulus<n>"
"anulum","anulum","anulus<n>"
"apelletem","apelletem","apelletem"
"aper","aper","aper<n>"
"aperta","aperta","apertare<v>;apertum<n>;apertus<adj>;aperire<v>"
"aperto","aperto","apertare<v>;apertum<n>;apertus<adj>;aperire<v>"
"aperuit","aperuit","aperire<v>"
"apes","apes","apis<n>"
"apoculamus","apoculamus","apoculare<v>"
"apoculo","apoculo","apoculare<v>"
"apophoreta","apophoreta","apophoreta<n>;apophoretus<adj>"
"apophoreti","apophoreti","apophoretus<adj>"
"apparatu","apparatu","apparare<v>;apparatus<n>"
"apparatus","apparatus","apparare<v>;apparatus<adj>;apparatus<n>"
"apparent","apparent","apparare<v>;apparere<v>;apparet<v>"
"appareret","appareret","apparere<v>;apparet<v>"
"appellabat","appellabat","appellare<v>"
"appellando","appellando","appellare<v>"
"appellatur","appellatur","appellare<v>;appellere<v>"
"appellavit","appellavit","appellare<v>"
"appetere","appetere","appetere<v>"
"applicat","applicat","applicare<v>"
"appositaque","appositaque","apponere<v>;appositum<n>;appositus<adj>"
"approbaret","approbaret","approbare<v>"
"approbari","approbari","approbare<v>"
"apri","apri","aper<n>"
"apro","apro","aper<n>"
"apros","apros","aper<n>"
"aprum","aprum","aper<n>"
"aptatam","aptatam","aptare<v>"
"apud","apud","apud<prep>"
"apuliae","apuliae","apuliae<n>"
"aqua","aqua","aqua<n>"
"aquam","aquam","aqua<n>"
"aquario","aquario","aquarius<adj>;aquarius<n>"
"aquarium","aquarium","aquarius<adj>;aquarius<n>"
"aratumque","aratumque","arare<v>;aratus<n>"
"arbitratu","arbitratu","arbitrare<v>;arbitratus<n>"
"arcam","arcam","arca<n>"
"arcisellium","arcisellium","arcisellium<n>"
"arcum","arcum","arcus<n>"
"ardentes","ardentes","ardens<adj>;ardere<v>"
"ardere","ardere","ardere<v>"
"area","area","area<n>"
"argentea","argentea","argenteus<adj>"
"argenteam","argenteam","argenteus<adj>"
"argenteas","argenteas","argenteus<adj>"
"argentei","argentei","argenteus<adj>"
"argenteo","argenteo","argenteus<adj>"
"argenteosque","argenteosque","argenteus<adj>"
"argenti","argenti","argentius<adj>;argentum<n>"
"argento","argento","argentum<n>"
"argentum","argentum","argentum<n>"
"argentumque","argentumque","argentum<n>"
"argumentum","argumentum","argumentum<n>"
"argutas","argutas","argutare<v>;argutus<adj>;arguere<v>"
"argutat","argutat","argutare<v>"
"aries","aries","aries<n>"
"arietem","arietem","aries<n>;arietare<v>"
"arietes","arietes","aries<n>;arietare<v>"
"arietilli","arietilli","arietillus<n>"
"arietinum","arietinum","arietinus<adj>"
"armarium","armarium","armarium<n>;armarius<n>"
"armilla","armilla","armilla<n>;armillum<n>"
"armillam","armillam","armilla<n>"
"armillas","armillas","armilla<n>"
"arripuit","arripuit","arripere<v>"
"articuli","articuli","articulus<n>"
"articulo","articulo","articulare<v>;articulus<n>"
"artificia","artificia","artifex<adj>;artificium<n>"
