"","influence_has_held_powerful_divitiacus_less_dumnorix","you_general_entire_received_going_labour_however","suddenly_gates_fighting_weapons_cast_rampart_small","winter_remi_belgae_treviri_received_send_crassus","sequani_give_conference_pass_allobroges_promised_return","cut_forth_determined_provisions_therefore_although_quickly","hill_position_mountain_guard_action_seen_nature","set_cohorts_during_scouts_italy_marches_cicero","now_towns_surrender_peace_found_possessions_neighbours","wall_feet_works_manner_raised_stones_work","ambiorix_winterquarters_nervii_eburones_death_will_greater","quarter_action_hand_right_long_thus_fight","centurions_valour_horses_courage_observed_within_barbarians","suevi_above_bridge_woods_treviri_nations_beyond","sea_ocean_britain_island_continent_violence_storm"
"received",1.00608682529302e-05,0.00990744513650387,1.20489186095548e-05,0.0133139851260657,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,0.000758985043530025,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"set",1.00608682529302e-05,0.000593748180918563,1.20489186095548e-05,1.2092629542294e-05,1.31847847583888e-05,0.00929153688117172,1.33431182867436e-05,0.0149832489842469,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,0.00526936688950059
"take",1.00608682529302e-05,0.0058327027184353,1.20489186095548e-05,0.00484914444645988,1.31847847583888e-05,0.00862880243886275,1.33431182867436e-05,0.00642953881245991,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"valour",0.00504049499471804,1.16421211944816e-05,1.20489186095548e-05,1.2092629542294e-05,0.00067242402267783,1.32546888461793e-05,0.00201481086129829,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.0085182736802342,0.0174403115073266,2.06206825445922e-05,2.62157556691572e-05
"wall",1.00608682529302e-05,1.16421211944816e-05,0.00483161636243147,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,0.0285154510642087,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"therefore",0.00353136475677851,1.16421211944816e-05,0.00483161636243147,0.00303525001511579,1.31847847583888e-05,0.00995427132348068,1.33431182867436e-05,0.00286549290754865,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"winter",1.00608682529302e-05,1.16421211944816e-05,1.20489186095548e-05,0.0169417739887539,1.31847847583888e-05,1.32546888461793e-05,1.33431182867436e-05,0.00429111126951315,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,1.88875247898763e-05,2.04939030638385e-05,2.06206825445922e-05,0.00658015467295845
"woods",1.00608682529302e-05,1.16421211944816e-05,0.0102536297367311,1.2092629542294e-05,1.31847847583888e-05,1.32546888461793e-05,0.000680499032623924,0.00286549290754865,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.000963263764283691,2.04939030638385e-05,0.0165171667182184,2.62157556691572e-05
"easily",1.00608682529302e-05,0.00175796030036673,1.20489186095548e-05,0.00666303887780398,0.0066055771639528,1.32546888461793e-05,0.00134765494696111,1.4256183619645e-05,1.48820596770593e-05,0.00536111853237154,1.80358914239336e-05,0.00568514496175276,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"general",1.00608682529302e-05,0.0134000814948484,1.20489186095548e-05,1.2092629542294e-05,0.00265014173643615,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,0.00362521417621066,0.00662952120124658,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
"held",0.0130891895970622,0.00292217241981489,1.20489186095548e-05,1.2092629542294e-05,0.00067242402267783,1.32546888461793e-05,1.33431182867436e-05,1.4256183619645e-05,1.48820596770593e-05,1.78110250244902e-05,1.80358914239336e-05,0.00568514496175276,2.04939030638385e-05,2.06206825445922e-05,2.62157556691572e-05
