"","vultum_essem_meae_beneficio_gratias_puero_satis","sive_erit_placet_aurum_omnis_fratrem_una","sub_navis_forte_erant_fortuna_tres_meis","mentem_agamemnon_vinum_ait_illam_unquam_ideo","amat_vides_unum_quemadmodum_volo_amici_populus","verba_frater_semel_oblitus_lichas_tua_iniuriam","melius_fit_mille_loco_potius_medio_sit","alius_lectum_pariter_factum_sui_vultus_iterum","ingenti_iniuria_hominem_tellus_pectore_feci_toto","quartilla_eiusmodi_rem_certe_intravit_repente_fugit","subinde_duo_vera_dii_suis_unde_hominum","habebat_familiae_ianuam_pueri_aliquot_diligenter_canem","fortunata_oculis_tota_habinnas_scintilla_caelum_ultimo","sanguine_mare_fluctus_utique_alter_iuppiter_ruina","terram_opes_ora_tollit_dixit_pater_duos"
"ideo",0.00159619417232637,3.18461195503328e-05,3.18969091894995e-05,0.0112136992428357,0.00966261115212995,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"illam",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,0.0128110922973707,0.00645244133414658,3.21016981798337e-05,3.26786706316787e-05,0.00336095304648764,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"ingenti",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,3.26786706316787e-05,3.32767628365113e-05,0.0179563456506935,3.60347374869374e-05,0.0073623676788396,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"lichas",0.00472598666708397,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.014477865879105,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,0.00371309878313297,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"medio",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00805752624313826,0.0114702133917192,3.32767628365113e-05,3.58410092828214e-05,0.00183777161183381,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.00223674400245603,4.54524794327531e-05
"meis",3.1297924947576e-05,3.18461195503328e-05,0.0127906605849893,3.19478610907e-05,3.21016981798337e-05,0.00163718660717152,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,0.0018680634408996,3.67633542884453e-05,0.0074167004907568,4.38577255383536e-05,4.54524794327531e-05
"miles",3.1297924947576e-05,0.00799337600713353,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00324227151616321,3.26786706316787e-05,0.00835246747196433,3.58410092828214e-05,3.60347374869374e-05,0.0036994981868796,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,4.54524794327531e-05
"mille",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,3.21016981798337e-05,0.0131041469233032,0.00336095304648764,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,4.38577255383536e-05,0.00913594836598336
"potest",3.1297924947576e-05,0.00480876405210025,3.18969091894995e-05,0.0016293409156257,3.21016981798337e-05,3.21016981798337e-05,0.00656841279696742,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,0.0018680634408996,3.67633542884453e-05,0.00926165086159182,4.38577255383536e-05,4.54524794327531e-05
"sanguine",3.1297924947576e-05,3.18461195503328e-05,3.18969091894995e-05,3.19478610907e-05,3.21016981798337e-05,0.00163718660717152,3.26786706316787e-05,3.32767628365113e-05,3.58410092828214e-05,3.60347374869374e-05,3.66286949196e-05,3.67633542884453e-05,3.68990074167005e-05,0.0285513793254682,4.54524794327531e-05
