"","αὐτός_λέγω_καί_δέ_ἰησοῦς_ἀποκρίνομαι_πρός","καί_σύ_ἐν_ἐγώ_πᾶς_δέ_ἔχω","σύ_λέγω_ὅτι_καί_εἰμί_οὐ_οὗτος","λέγω_καί_αὐτός_δέ_σύ_τίς_ἀκούω","καί_ἐγώ_οὐ_εἰμί_μή_ὅς_σύ","καί_εἰς_θεός_ἐν_οὗτος_γάρ_εἰμί","καί_εἰς_αὐτός_δέ_ἐν_γίνομαι_εἰμί","οὐ_εἰμί_γάρ_σύ_μή_ἐγώ_αὐτός","ἐν_καί_χριστός_σύ_ἐγώ_ἰησοῦς_κύριος","ἐν_καί_εἰμί_ἡμέρα_ἐγώ_δέ_ὅς","καί_αὐτός_ἐπί_ἐν_ἐκ_οὐρανός_γῆ","σύ_καί_αὐτός_ἐγώ_μή_οὐ_δέ","καί_αὐτός_εἰς_δέ_εἰσέρχομαι_ἐξέρχομαι_ἀπό","καί_ἐγώ_σύ_αὐτός_εἰμί_πατήρ_θεός","καί_αὐτός_ἐγώ_ἐπί_σύ_χείρ_ἄνθρωπος","καί_εἰμί_λέγω_ἐγώ_θεός_αὐτός_ἐν","καί_μή_εἰς_οὐ_αὐτός_εἰμί_γάρ","καί_αὐτός_δέ_λέγω_μετά_ἀρχιερεύς_εἷς","καί_δέ_εἰμί_ἐν_αὐτός_γίνομαι_μή","καί_αὐτός_πᾶς_ἐπί_ἐν_εἰς_ἐκ"
"ὅς",2.83401727616932e-06,0.0143709488203439,0.0142221663433676,0.0142863156881848,0.0243071053419992,0.0144244045829165,0.00410078926797287,0.0187769170041655,0.0129094022009044,0.0224393065120855,0.00256483815222366,0.0128654529490047,0.00922549033254917,0.0161323059302806,0.00599914246055682,0.0195074114310296,0.0101026051574332,3.70293568741298e-06,3.71600781848045e-06,0.0140064076234289
"οὗτος",0.00694617634389099,0.00726101743118179,0.0309858227363077,0.0267654169523328,0.0142186324922196,0.0283854853853565,0.00961683939783645,0.020541966457642,3.26737590506313e-06,0.0171211476586806,3.41523056221526e-06,3.42987282031582e-06,3.48000389760437e-06,0.0052590374982784,3.63364170839299e-06,0.028803598900498,0.00459409634749143,0.00685413395740143,0.0105943382904878,0.00523139884842012
"θεός",2.83401727616932e-06,0.0134822073966986,2.99351007016788e-06,3.00701235280675e-06,0.0226256932003693,0.0317606917331991,3.15202864563633e-06,0.01235855535516,0.0364345087173589,0.0177859175153562,0.000857222871116029,3.42987282031582e-06,3.48000389760437e-06,0.0268243532217494,0.0112679229377266,0.0339073880994218,0.0115715408400843,3.70293568741298e-06,3.71600781848045e-06,3.73404628723778e-06
"ὅτι",0.0103469970752942,0.00503916387206864,0.0483481811432814,0.0257129626288505,0.0149829107384151,0.00613980718366646,0.00331278210656378,0.0179746217980398,3.26737590506313e-06,0.0194478421570452,0.00154026898355908,0.00823512464157829,3.48000389760437e-06,0.0108768928548129,0.0132664258773428,0.0136745094894023,0.0073483507524623,3.70293568741298e-06,3.71600781848045e-06,3.73404628723778e-06
"πᾶς",2.83401727616932e-06,0.0272576994632002,0.014371841846876,0.00827229098257136,0.00795155087341718,0.0121231275275693,0.00614960788763648,3.20918082450274e-06,0.0207511043730559,0.00798056212939081,0.00478473801766357,3.42987282031582e-06,0.00122148136805913,0.0222938247084152,0.0116312871085659,0.00857072029047852,0.0156111139673749,3.70293568741298e-06,0.0115233402451079,0.027262271943123
"γάρ",2.83401727616932e-06,0.00666852314875162,0.0133241133223172,0.00391212307100158,0.0152886220368932,0.023782931274662,3.15202864563633e-06,0.0330577716732027,0.00310727448571503,0.0118029888052756,3.41523056221526e-06,0.00549122638532563,3.48000389760437e-06,0.00652758548201199,3.63364170839299e-06,0.0129453967466989,0.0170800496500261,3.70293568741298e-06,0.012266541808804,0.00597820810586768
"μή",2.83401727616932e-06,0.0117047245494081,0.0119770337907417,0.00962544654133439,0.0281284965729763,3.06836940712966e-06,3.15202864563633e-06,0.028725377560124,3.26737590506313e-06,3.32384928337809e-06,3.41523056221526e-06,0.0320727407427733,3.48000389760437e-06,0.000547287844410778,3.63364170839299e-06,3.64556371351702e-06,0.032503874317863,3.70293568741298e-06,0.0163541504091325,3.73404628723778e-06
"ἰησοῦς",0.0491730337588138,2.96247141215087e-06,2.99351007016788e-06,0.0114296539530184,3.05711298478169e-06,0.00552613330224052,0.0116656580175001,3.20918082450274e-06,0.0478703243850799,0.00266240327598585,3.41523056221526e-06,3.42987282031582e-06,3.48000389760437e-06,3.6244228106674e-06,3.63364170839299e-06,0.00729477299074756,3.67233920662784e-06,0.00574325325117753,0.00074691757151457,3.73404628723778e-06
"ἐκ",2.83401727616932e-06,2.96247141215087e-06,2.99351007016788e-06,0.0115800045706588,0.0152886220368932,0.0162654262271943,0.000948760622336536,3.20918082450274e-06,3.26737590506313e-06,0.0164563778020049,0.0223731754130721,0.000174923513836107,0.00365748409638219,0.0110581139953462,0.0174451138419947,0.00200870560614788,0.00404324546649725,0.00796501466362532,0.00483452617184307,0.0212877978835426
"ἐπί",2.83401727616932e-06,0.00903850027847231,0.0104802787556577,3.00701235280675e-06,3.05711298478169e-06,3.06836940712966e-06,0.0113504551529364,3.20918082450274e-06,0.00376074966672766,0.00515529023851942,0.0350095284932686,0.00137537900094664,0.00922549033254917,0.0088834603089458,0.0223505301483253,3.64556371351702e-06,0.0097353712367704,3.70293568741298e-06,3.71600781848045e-06,0.0265154626856755
