"","identifier","text","θίς_κήδω_πρό_ἱλάσκομαι_λαμβάνω_Κάλχας_ὁράω","καίω_θάλασσα_Χρύση_ἀμφί_ἀρήγω_ἶφι_κῦμα","ἴσος_ἀείδω_ἄλγος_ἀτιμάω_βούλομαι_πλείων_σῶς","ἐφίημι_χραισμέω_ἀχεύω_ἔρομαι_τλάω_ἔλδωρ_ὅστις","τιμάω_χολόω_ἄνθρωπος_δύο_μάλιστα_νεφεληγερέτα_πέλω","πόλις_ἱερεύς_μάντις_ἐκπέρθω_οἴχομαι_φρονέω_αἰδέομαι","ἀπειλέω_κρατερός_πότνια_προίημι_τέλλω_χερείων_χέω","ἤδη_καταδύω_ἱστίον_τοι_ἀναβαίνω_νέος_ἀγορά","τιμή_χαίρω_Πρίαμος_φωνέω_ἤτοι_κῆρυξ_οἴκαδε","κατανεύω_παύω_ἐπιπείθομαι_κράτιστος_ὅσος_μένος_μάντις","βαρύς_δῶρον_καθέζομαι_ξίφος_λήγω_μηνίω_λαμβάνω","τίκτω_αἰνός_δείδω_κέλομαι_τρέφω_ἱλάσκομαι_αἴξ","γαῖα_γλυκύς_ἕκαστος_ἱκάνω_ἀπάνευθε_Ἥφαιστος_Χρύση","ἔοικα_μένω_ἀγορά_πέμπω_τλάω_αἴξ_ἀναβαίνω","ἵνα_κνῖσα_θνήσκω_ἀπάνευθε_κῆρ_λήγω_οἶος"
"235","urn:cts:greekLit:tlg0012.tlg001:1.415@αἴθ̓-1.416@δήν","εἴθε ὀφείλω παρά ναῦς ἀδάκρυτος καί ἀπήμων ἧμαι , ἐπεί νῦν σύ αἶσα μίνυνθα πέρ οὐ τις μάλα δήν ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"236","urn:cts:greekLit:tlg0012.tlg001:1.417@νῦν-1.418@ἔπλεο","νῦν δέ ἅμα τε ὠκύμορος καί ὀιζυρός περί πᾶς πέλω ·","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"237","urn:cts:greekLit:tlg0012.tlg001:1.418@τώ-1.418@μεγάροισι","τῷ σύ κακός αἶσις τίκτω ἐν μέγαρον .","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"238","urn:cts:greekLit:tlg0012.tlg001:1.419@τοῦτο-1.420@πίθηται","οὗτος δέ σύ ἐρῶ ἔπος Ζεύς τερπικέραυνος εἶμι αὐτός πρός Ὄλυμπος ἀγάννιφος εἰ ἄν πείθω .","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"239","urn:cts:greekLit:tlg0012.tlg001:1.421@ἀλλὰ-1.422@πάμπαν","ἀλλά σύ μέν νῦν ναῦς πάρημαι ὠκύπορος μηνίω Ἀχαιός , πόλεμος δέ ἀποπαύω πάμπαν ·","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"240","urn:cts:greekLit:tlg0012.tlg001:1.423@Ζεὺς-1.424@ἕποντο","Ζεύς γάρ εἰς Ὠκεανός μετά ἀμύμων Αἰθίοψ χθιζός βαίνω κατά δαίς , θεός δέ ἅμα πᾶς ἕπομαι ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"241","urn:cts:greekLit:tlg0012.tlg001:1.425@δωδεκάτῃ-1.427@ὀΐω","δωδέκατος δέ τοι αὖθις ἔρχομαι Ὄλυμπος δέ , καί τότε ἔπειτα τοι εἶμι Ζεύς πρός χαλκοβατής δῶμα , καί μιν γουνάζομαι καί μιν πείθω οἴομαι .","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"242","urn:cts:greekLit:tlg0012.tlg001:1.428@ὣς-1.430@ἀπηύρων","ὡς ἄρα φωνέω ἀποβαίνω , ὁ δέ λείπω αὐτοῦ χώομαι κατά θυμός εὔζωνος γυνή ὁ ἄρα βία ἀέκων ἀπαυράω ·","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.443478260869565","0.00869565217391304","0.443478260869565","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"243","urn:cts:greekLit:tlg0012.tlg001:1.430@αὐτὰρ-1.431@ἑκατόμβην","ἀτάρ Ὀδυσσεύς εἰς Χρύση ἱκάνω ἄγω ἱερός ἑκατόμβη .","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304"
"244","urn:cts:greekLit:tlg0012.tlg001:1.432@οἳ-1.435@ἐρετμοῖς","ὁ δέ ὅτε δή λιμήν πολυβενθής ἐντός ἱκνέομαι ἱστίον μέν στέλλω , τίθημι δέ ἐν ναῦς μέλας , ἱστός δέ ἱστοδόκη πελάζω πρότονοι ὑφίημι καρπάλιμος , ὁ δέ εἰς ὅρμος προερέσσω ἐρετμόν .","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.443478260869565","0.00869565217391304","0.443478260869565","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
