"","identifier","text","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"446","urn:cts:latinLit:phi0972.phi001:52.9","ceterus laudare trimalchio hilaris bibere et iam ebrius prope nemo inquit tu rogare fortunare meus ut saltare credere ego cordax nemo bonus ducere","0.00176991150442478","0.621238938053097","0.00176991150442478","0.00176991150442478","0.267256637168142","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.0902654867256637","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"447","urn:cts:latinLit:phi0972.phi001:52.10","at ipse erigere supra frons manus syrus histrio exhibere concinere totus familia ma deius perima deius","0.13972602739726","0.00273972602739726","0.276712328767123","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.413698630136986","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.13972602739726","0.00273972602739726","0.00273972602739726"
"448","urn:cts:latinLit:phi0972.phi001:52.11","et prodire in medius niti fortunare ad aurare accedere et credere dicere non decere gravitas is tam humilis ineptire","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.161904761904762","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.796825396825397","0.00317460317460317"
"449","urn:cts:latinLit:phi0972.phi001:52.12","nihil autem tam inaequalis esse nam modus fortunare vereri modus ad nasci suus revertere","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"450","urn:cts:latinLit:phi0972.phi001:53.1","et planus interpellare saltatio libido actuarius quis tanquam urbs agere recitare","0.569811320754717","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.381132075471698","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038"
"451","urn:cts:latinLit:phi0972.phi001:53.2","vii kalendas sextilis in praedium cumano quis esse trimalchionis nasci esse puer xxx puella xl tollere in horreum ex area triticius millia modium quingenti bos domare quingenti","0.381132075471698","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.569811320754717","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038"
"452","urn:cts:latinLit:phi0972.phi001:53.3","idem dies mithridates servus in crux agere esse quia gai ego genius malus dicere","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"453","urn:cts:latinLit:phi0972.phi001:53.4","idem dies in arca referre esse quis collocare non posse sestertius centies","0.915151515151515","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"454","urn:cts:latinLit:phi0972.phi001:53.5","idem dies incendium facere esse in hortus pompeianis ortus ex aedes nastae vilicus","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"455","urn:cts:latinLit:phi0972.phi001:53.6","quis inquit trimalchio quando ego pompeiani hortus emptisunt","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
