"","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"deinde",0.00158091630535164,0.00350864943180826,1.83698587357863e-05,1.85058385920758e-05,0.00374392310987762,2.0186930980883e-05,0.0146081230333215,0.00319326664833887,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,0.0107928303060761,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"fortunare",0.00314617997401662,0.0122366330930229,0.006447820416261,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.00450804046022383,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,0.00987702957480935,2.85820447594821e-05
"nunc",0.0125377619860065,1.74559673224292e-05,0.00277384866910373,1.85058385920758e-05,0.00374392310987762,0.00304822657811333,2.08389772229979e-05,0.00848013196015818,2.20084952791778e-05,0.0022652342611075,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"amare",0.0062767073113466,1.74559673224292e-05,1.83698587357863e-05,0.0120473009234413,0.000949950639819696,2.0186930980883e-05,2.08389772229979e-05,0.00636538583543046,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,0.00897996776421828,2.81396853983172e-05,2.85820447594821e-05
"ire",0.0125377619860065,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,0.00746921973662153,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,0.00450804046022383,2.25291188861604e-05,2.3930887596621e-05,0.0077007700770077,2.81396853983172e-05,0.00145768428273359
"noscere",0.0054940754770141,0.00525424616405118,0.00185535573231442,0.0120473009234413,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,0.00790772072904229,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"pro",1.56526366866499e-05,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,0.0084005438933075,2.0186930980883e-05,2.08389772229979e-05,0.0148243703343414,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,0.0171778089004487
"accipere",0.00471144364268161,0.0113638347269014,1.83698587357863e-05,0.00649554934581861,1.86264831337195e-05,0.00809495932333407,2.08389772229979e-05,2.11474612472773e-05,2.20084952791778e-05,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"amicus",0.0141030256546715,0.00176305269956535,1.83698587357863e-05,0.00927142513462998,1.86264831337195e-05,2.0186930980883e-05,2.08389772229979e-05,2.11474612472773e-05,0.00442370755111473,2.24280619911633e-05,2.25291188861604e-05,2.3930887596621e-05,2.55839537442116e-05,2.81396853983172e-05,2.85820447594821e-05
"iacere",0.00236354813968413,1.74559673224292e-05,1.83698587357863e-05,1.85058385920758e-05,1.86264831337195e-05,2.0186930980883e-05,0.00939837872757205,0.00953750502252204,2.20084952791778e-05,2.24280619911633e-05,0.00340189695181021,0.00600665278675186,0.00642157238979712,2.81396853983172e-05,2.85820447594821e-05
