"","hostis_spes_signum_pugno_video_salus_clamor","hostis_eques_Caesar_silva_agmen_interfacio_legio","legio_Caesar_Ipse_proficiscor_tres_Gallia_hiberna","fodio_murus_vallus_agger_altitudo_pedum_autem","hostis_sino_salus_modus_posse_diligens_posset","Caesar_nox_posterus_oppugno_ante_iubet_timor","legio_hostis_cohors_proximus_impedimentum_Caesar_agmen","dico_Caesaris_vita_gravis_senatus_sententia_Aedui","apud_frater_gratia_senatus_jus_ager_Haeduorum","bellum_accipio_quantus_discedo_Caesar_Romanorum_nihil","sino_hostis_resisto_sub_labor_armo_cado","hostis_legio_alter_Caesar_ubi_acies_uter","frumentum_provincia_transeo_aedificium_ager_prohibeo_autem","palus_natura_munio_prior_sic_paro_celeriter","Caesar_obsideo_colloquium_Gallia_ito_impero_Caesaris","certus_passus_supra_fio_circito_demonstravimus_dis","totus_princeps_imperium_concilium_singulus_sunt_Hi","passus_circito_spatium_nox_ibi_contineo_amplus","annus_ager_frumentum_inopia_for_ratio_Haec","esset_C_video_ibi_Ad_alter_quisquam","hostis_circito_tempestas_portus_insula_aestus_passus","nitor_Gallorum_capio_nihil_Caesar_legio_subeo","quidem_fortuna_hostis_volo_littera_adeo_fio","murus_telum_consuetudo_manus_intro_ante_adeo","Rhenum_transeo_Caesar_Germanorum_trans_domus_Germanos"
"for",1.36182266345277e-05,1.66719461162702e-05,1.71435428845725e-05,0.0053010690195664,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,0.0117658110424837,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,2.48564539782755e-05,0.0117353178423668,0.0147007817294096,0.0174152644391536,2.73365955003964e-05,0.00816138391041458,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"obsideo",1.36182266345277e-05,1.66719461162702e-05,0.00858891498517084,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,0.0116660667781753,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,0.0130472875375909,2.39057158566613e-05,0.0280861862814475,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"proximus",0.00477999754871921,1.66719461162702e-05,0.0103032692736281,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,0.0220946800184624,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,0.00360976309435586,2.44015519387033e-05,2.48564539782755e-05,0.00783221878171268,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,0.00273853745831187,0.00278382624514209,2.82637573839066e-05,2.99571612593991e-05,0.00154634486522543
"silva",0.00818455420735112,0.0175222153681999,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,0.00958619205852119,2.44015519387033e-05,0.00623896994854714,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,0.00139416637052022,2.71142322605135e-05,0.0110526170722968,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"gero",1.36182266345277e-05,0.00918624231006485,1.71435428845725e-05,1.76115249819482e-05,0.0114148445582227,1.94435262779258e-05,0.00503702514499007,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,0.00583978967450734,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,0.00748179264746091,2.60206604043611e-05,2.66801846268776e-05,0.0160776865252401,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,0.00306236924289743
"spes",0.0170364015197941,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,0.00790797987059669,1.94435262779258e-05,2.00678292629086e-05,0.00107073124645714,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,0.0122251775212904,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,0.0136745398866014
"Caesaris",1.36182266345277e-05,1.66719461162702e-05,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,0.00585250140965566,2.00678292629086e-05,0.0189162520207428,2.11725349876141e-05,0.00679749779815271,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,0.017105487909031,0.00623896994854714,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,2.71142322605135e-05,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,0.00609441799824141
"impetus",0.0129509335294358,0.0125206315333189,1.71435428845725e-05,1.76115249819482e-05,1.75343234381301e-05,1.94435262779258e-05,0.00905059099757179,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,2.39057158566613e-05,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,0.00669672634134628,2.67515582782697e-05,0.00276099614554003,2.71142322605135e-05,2.75626360905157e-05,0.0042678273649699,2.99571612593991e-05,3.03204875534399e-05
"possent",0.00069452955836091,1.66719461162702e-05,1.71435428845725e-05,0.0114651027632483,0.00440111518297067,1.94435262779258e-05,2.00678292629086e-05,2.0994730322689e-05,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,0.0118633231512396,0.0131720494370204,2.44015519387033e-05,2.48564539782755e-05,0.0117353178423668,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,0.00544996068436322,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
"proficiscor",1.36182266345277e-05,1.66719461162702e-05,0.019732217860143,1.76115249819482e-05,0.00615454752678368,0.00974120666524081,2.00678292629086e-05,0.00526967731099494,2.11725349876141e-05,2.2583049163298e-05,2.32660943207464e-05,2.34846527794087e-05,2.36792877270252e-05,0.00719562047285506,2.44015519387033e-05,2.48564539782755e-05,2.60206604043611e-05,2.66801846268776e-05,2.67515582782697e-05,2.73365955003964e-05,0.00273853745831187,2.75626360905157e-05,2.82637573839066e-05,2.99571612593991e-05,3.03204875534399e-05
