"","τόνον_ϊ_ἀσκαλωνίτης_ὁμοίως_λήγοντα_ποιητῇ_ἐγένετο","ζεὺς_διὸς_ἀφ_αὐτὴν_αὐτῆς_αὐτῶν_ἱστορία","τί_οὐδέ_πῶς_ἢν_ὅμηρος_ῥητέον_αὐτὸς","ὃς_ὧν_ὃν_ὥς_ὕδωρ_ὑπέρ_του","στικτέον_λόγος_τέλος_ᾖ_ἀρχῆς_ἐὰν_ἄνω","ὥσπερ_πῶς_τότε_ὑπὸ_γίνεται_ἄρα_ἄν","ὁμοίως_ᾖ_λόγου_πρόθεσιν_ἵν_ἦ_ἓν","τρώων_ὑπὸ_ἕκτορα_ὑπ_ἕκτωρ_ἤτοι_τρῶες","ἀθετοῦνται_τούτου_ἕως_στίχοι_ἀθετεῖται_αὐτῶν_οὐδὲ","κε_τοι_μή_μοι_με_τίς_δή","τεῖχος_σημαίνει_τῶ_ποτὲ_χρόνον_ὅπερ_ἀχαιῶν","ν_ἀπὸ_ἵππων_σύν_οὐδ_χωρὶς_ἐπ","μοι_ὅμηρος_τοι_νεώτεροι_ἐὰν_ὑπ_τινες","ἄλλοι_ἀρίσταρχος_χωρὶς_ἀρισταρχος_ν_ϊ_ἀριστάρχου","ἔν_ὅσον_πῦρ_τισι_γίνεται_ἀνδρῶν_αἷμα","ἵν_ἐλλείπει_ἦ_μᾶλλον_ἀπὸ_ἔστιν_ᾖ","εἴρηκεν_πρότερον_ὄνομα_ἕτερον_δεύτερον_ἄλλο_ὥστε","κεν_εἴ_καί_μοι_κ_μιν_ῥ","οὔτε_αὐτὰρ_ἂρ_θηλυκῶς_ἴλιον_ζηνοδοτος_μᾶλλον","ἔνθα_πάλιν_διὸς_ἐνταῦθα_πάτροκλον_ἅπαξ_οὗτος"
"ἕως",3.19028112757296e-06,4.76753499370685e-06,6.31903546242702e-06,0.000346462683930925,0.00789156130872391,0.00246398786959818,7.59001760884085e-06,0.00589935743350458,0.0179288263030458,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"στικτέον",3.19028112757296e-06,4.76753499370685e-06,6.31903546242702e-06,6.7933859594299e-06,0.0267462907604969,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,0.000406206193449726,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.00566703126768001,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"γίνεται",0.00255541518318594,4.76753499370685e-06,6.31903546242702e-06,6.7933859594299e-06,0.00309217563009078,0.0101858871760312,0.0022845953002611,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,0.0116913702547616,0.00189529664692792,9.49198876148531e-06,9.40273807732812e-06,0.000491793793755183,9.78933354217245e-06
"πρότερον",0.000641246506642165,0.00477230252870056,0.00379774031291864,6.7933859594299e-06,0.00514905520664783,7.01990846039368e-06,0.00152559353937701,0.00118615575560478,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.000903786956832987,9.34561970804284e-06,9.42933655188021e-06,0.0142474751309894,9.40273807732812e-06,9.64301556382712e-06,9.78933354217245e-06
"ἄρα",0.00271492923956459,0.000719897784049735,6.31903546242702e-06,6.7933859594299e-06,0.00103529605353372,0.00913290090697217,7.59001760884085e-06,7.855336129833e-06,0.00438861985472155,8.02877513006616e-06,8.62425831378502e-06,0.00652748322497653,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,0.00627760313205146,0.000499256010650795
"αὐτὸ",0.00510764008524431,4.76753499370685e-06,0.00348178853979729,6.7933859594299e-06,0.00274936236733127,0.00456996040771628,7.59001760884085e-06,7.855336129833e-06,0.000804447559576908,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.000480896164145891,0.00475548636950414,9.40273807732812e-06,0.0057954523538601,9.78933354217245e-06
"ἀρισταρχος",0.00111978867577811,4.76753499370685e-06,6.31903546242702e-06,6.7933859594299e-06,6.85626525519019e-06,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,0.0268541055193643,9.34561970804284e-06,0.005195564440086,9.49198876148531e-06,0.00424063487287498,9.64301556382712e-06,9.78933354217245e-06
"λόγον",0.0017578449012927,4.76753499370685e-06,0.00727320981725349,6.7933859594299e-06,0.00412061541836931,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,0.00239741302408564,8.02877513006616e-06,8.62425831378502e-06,0.00305079442339116,0.00589930404523706,8.9483857112177e-06,9.34561970804284e-06,0.00283823030211594,0.000484091426835751,9.40273807732812e-06,0.00290254768471196,9.78933354217245e-06
"ὅπερ",0.00383152763421513,4.76753499370685e-06,0.00348178853979729,6.7933859594299e-06,0.00206373584181225,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,0.00906409548778805,0.00565831102458019,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,0.00330969712970995,9.49198876148531e-06,9.40273807732812e-06,9.64301556382712e-06,0.000988722687759417
"οὔτε",3.19028112757296e-06,4.76753499370685e-06,0.00822106513661755,6.7933859594299e-06,6.85626525519019e-06,7.01990846039368e-06,7.59001760884085e-06,7.855336129833e-06,7.96482732254365e-06,8.02877513006616e-06,8.62425831378502e-06,8.69172200396343e-06,9.06191097578657e-06,8.9483857112177e-06,9.34561970804284e-06,9.42933655188021e-06,9.49198876148531e-06,9.40273807732812e-06,0.0197778249214094,0.00833072284438875
