"","mihi_te_si_quod_me_qui_quam","si_quid_unquam_quem_manu_mortuum_sibi","quid_quod_quam_mihi_si_illa_magis","coepit_eius_fortunata_atque_haec_sunt_subinde","qui_illum_hoc_omnia_summam_mei_cito","erat_quae_altera_qui_quo_terram_habebat","ne_trimalchionis_minus_puerum_me_nos_iussit","quod_quid_quem_qui_me_respiciens_sunt","tibi_ita_bene_me_nos_qui_tuum","hoc_si_illi_plane_nostrum_qua_c","haec_factus_aliquot_quemadmodum_omnia_circa_heu","si_quod_hoc_fuit_illius_die_male","quam_me_postquam_coepi_esset_plus_quomodo","me_mihi_ne_meam_ideo_meo_sine","omnia_quae_mea_fecit_vestimenta_iussit_ab","sunt_ne_servi_unum_omnes_cocus_ova","hoc_omnes_pedes_post_nos_aquam_accepit","quam_nos_quid_quo_quare_ait_illi","nos_qui_ceterum_erat_pedes_subito_amat","nobis_suam_deinde_quae_pro_dedit_habebat"
"haec",6.74308833445718e-05,0.0202746365105008,8.59845227858985e-05,0.0313953488372093,0.00915684496826836,0.00911552346570397,0.0196480938416422,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.0522964509394572,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"ne",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,0.0391984359726295,0.000100704934541793,0.000100704934541793,0.0102746693794507,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0587338804220399,0.000117924528301887,0.0544685990338164,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"omnia",6.74308833445718e-05,0.00815831987075929,8.59845227858985e-05,8.94454382826476e-05,0.0363553943789665,9.02527075812274e-05,0.024535679374389,0.000100704934541793,0.000100704934541793,0.0051881993896236,0.0262004175365344,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0472877358490566,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"tibi",0.0337828725556305,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.0957703927492447,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"illi",0.0270397842211733,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0152064451158107,0.000100704934541793,0.040793489318413,0.000104384133611691,0.0270474137931034,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.0250311332503113,0.000126103404791929,0.000131926121372032
"quae",6.74308833445718e-05,0.0162358642972536,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,0.0542418772563177,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0413915094339623,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.0331134564643799
"sunt",6.74308833445718e-05,8.07754442649435e-05,8.59845227858985e-05,0.0313953488372093,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.0252769385699899,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.0237028301886792,0.0605072463768116,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"te",0.0506405933917734,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.0252769385699899,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.0118405627198124,0.000117924528301887,0.0182367149758454,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.000131926121372032
"illum",6.74308833445718e-05,0.0121970920840065,8.59845227858985e-05,8.94454382826476e-05,0.0590208522212149,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.0102746693794507,0.000104384133611691,0.000107758620689655,0.0279510022271715,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.0064312736443884,0.000131926121372032
"nobis",0.0304113283884019,8.07754442649435e-05,8.59845227858985e-05,8.94454382826476e-05,9.06618313689937e-05,9.02527075812274e-05,9.77517106549365e-05,0.000100704934541793,0.000100704934541793,0.000101729399796541,0.000104384133611691,0.000107758620689655,0.000111358574610245,0.000117233294255569,0.000117924528301887,0.000120772946859903,0.000120048019207683,0.00012453300124533,0.000126103404791929,0.079287598944591
