"","camp_Caesar_enemy_cavalry_army_horse_some","enemy_while_slain_did_fighting_battle_weapons","Caesar_Aedui_hostages_people_did_brought_Gaul","Caesar_people_Roman_Ariovistus_Gaul_That_s","river_enemy_baggage_legions_place_two_army","state_among_most_influence_whose_has_man","Caesar_arms_ambassadors_hostages_Having_cavalry_town","soldiers_Vercingetorix_camp_Gauls_town_fortifications_every","corn_war_account_They_Romans_off_such","winter_quarters_war_Gaul_Ambiorix_legion_Labienus","town_wall_feet_rampart_night_works_made","war_states_Aedui_general_state_every_command","Gaul_Gauls_than_rest_territories_account_now","soldiers_legion_valour_centurions_most_only_command","Rhine_Germans_territories_war_army_Suevi_Treviri","ships_sea_Britain_war_back_island_ocean","legions_orders_soldiers_little_Caesar_sends_two","hill_legions_side_two_ground_mountain_front","Gaul_much_order_After_many_done_will","may_do_They_horses_even_every_most","even_time_safety_army_first_matters_Roman","soldiers_such_river_down_bridge_These_distance","country_thousand_Aedui_Arverni_cavalry_Vercingetorix_Bituriges","you_received_I_said_us_When_since","Helvetii_Province_Sequani_through_Allobroges_Rhone_Roman"
"did",0.000762143100898646,0.0147865076938755,0.0171553558760936,0.00626406601650413,0.00451853759011329,1.45815106445028e-05,0.00955526199911933,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,0.00495636423513914,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,0.00103595368677636,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"most",3.79175672088879e-06,1.01905635381637e-05,0.0106526365571057,0.00188797199299825,1.28733264675592e-05,0.0196996208807232,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,0.0188018979833926,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,0.0139741313720517,0.00766293279022403,2.57532835436518e-05,0.00716528689694547,0.0104838709677419,0.00475141598489616
"battle",0.0104311227391651,0.0132579231631509,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,1.45815106445028e-05,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,0.0132236441194394,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,0.00128366473697458,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"river",3.79175672088879e-06,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,0.0379891864057673,1.45815106445028e-05,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,1.97316495659037e-05,1.97706603400554e-05,0.00814543977249644,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,0.0244913726500129,2.85469597487868e-05,2.9868578255675e-05,0.0141913152926369
"than",0.00644977818223183,1.01905635381637e-05,1.18231260345235e-05,0.00751437859464866,1.28733264675592e-05,1.45815106445028e-05,1.46778218112432e-05,0.00786746231155779,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,0.0246842936069455,0.00891656781336497,2.03128173877717e-05,0.00108211330362826,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,0.00517640999227401,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"some",0.0128957646077428,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,0.00657626130067075,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,0.000984936268829664,0.00791239147592739,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,0.0126179987413468
"among",0.0024684336252986,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,0.0255322251385244,1.46778218112432e-05,1.57035175879397e-05,1.57282164202579e-05,0.00968105670103093,1.64663263625885e-05,0.00967555040556199,1.97316495659037e-05,1.97706603400554e-05,0.0122080032500508,2.12179079142797e-05,0.0127310536044362,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"made",0.0096727713949873,1.01905635381637e-05,1.18231260345235e-05,0.00688922230557639,1.28733264675592e-05,1.45815106445028e-05,1.46778218112432e-05,1.57035175879397e-05,0.00394778232148474,1.61082474226804e-05,0.012366211098304,0.0106411741985323,1.97316495659037e-05,1.97706603400554e-05,2.03128173877717e-05,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
"territories",3.79175672088879e-06,0.000519718740446347,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,1.45815106445028e-05,0.00735358872743285,1.57035175879397e-05,0.00552060396351054,0.012902706185567,0.00248641528075086,1.93124758594052e-05,0.0187647987371744,1.97706603400554e-05,0.0274426162908795,2.12179079142797e-05,2.31053604436229e-05,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,0.00145589494718812,2.9868578255675e-05,0.0126179987413468
"about",0.0111894740833428,1.01905635381637e-05,1.18231260345235e-05,1.25031257814454e-05,1.28733264675592e-05,1.45815106445028e-05,0.00661969763687069,1.57035175879397e-05,1.57282164202579e-05,1.61082474226804e-05,1.64663263625885e-05,1.93124758594052e-05,0.0177782162588792,0.00100830367734282,2.03128173877717e-05,0.00108211330362826,0.00348890942698706,2.39923224568138e-05,2.51698968034231e-05,2.53613999492772e-05,2.54582484725051e-05,2.57532835436518e-05,2.85469597487868e-05,2.9868578255675e-05,3.14663310258024e-05
