"","alius_medio_praecipue_navis_vinum_fortuna_subito","frater_invenit_domum_iniuriam_populus_partes_ingenti","quemadmodum_volo_ideo_illam_valde_his_aliquid","verum_sive_tuam_fratrem_utique_vultu_osculum","satis_facta_plus_mecum_caelo_miles_vultus","sit_loco_fit_potest_melius_centum_curabo","deos_agere_dicebat_quartilla_vis_gratias_his","factum_posset_dominum_iuvenes_verba_vultum_subinde","rem_habebat_erant_extra_ianuam_aliquot_vidi","solus_forte_opes_rerum_ora_sui_ipsi","fortunata_agamemnon_oculis_tota_scintilla_habinnas_donec","propter_mentem_quorum_caelum_vides_hominem_afferri","sanguine_mare_nondum_potius_risum_caesar_opus","tellus_pectore_vera_more_toto_facies_ira","semel_eumolpi_faciem_tum_tua_certe_lacrimas"
"potest",2.9238911142949e-05,0.00155958533378184,3.09109455658249e-05,0.00312200550214831,3.15945783703516e-05,0.0151083715788416,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.00382561266618689,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"sanguine",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.0250374985577478,4.20150413848158e-05,0.00228689296444106
"sit",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.0218083146293256,3.49027957139367e-05,0.00178315443515961,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"tot",2.9238911142949e-05,3.05801045839577e-05,0.00157645822385707,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.00580746894350217,0.0105457753875888,0.0112551006681315
"unquam",2.9238911142949e-05,0.00155958533378184,3.09109455658249e-05,0.00775864733702204,3.15945783703516e-05,0.00505845700311547,3.49027957139367e-05,3.496381245411e-05,0.00532609079044831,3.62305713561103e-05,3.81664821953361e-05,0.00382561266618689,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"unum",0.00295313002543785,0.00308859056297973,0.00775864733702204,0.00157645822385707,0.00161132349688793,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,0.00194649059196214,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00452894489036366
"verba",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.0122722981713926,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,0.00382561266618689,0.00965347486635129,4.20150413848158e-05,4.48410385184521e-05
"vultum",2.9238911142949e-05,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,0.00876060172419811,0.0122722981713926,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,0.00452894489036366
"aliquid",2.9238911142949e-05,3.05801045839577e-05,0.0108497418936045,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,3.49027957139367e-05,0.00702772630327611,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,0.00388446598207761,4.20150413848158e-05,4.48410385184521e-05
"amici",0.0044150755825853,3.05801045839577e-05,0.0062131000587308,3.09109455658249e-05,3.15945783703516e-05,3.34997152524204e-05,0.0105057415098949,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"domum",2.9238911142949e-05,0.0107336167089691,3.09109455658249e-05,0.00312200550214831,3.15945783703516e-05,0.00673344276573649,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"extra",0.0044150755825853,3.05801045839577e-05,3.09109455658249e-05,3.09109455658249e-05,3.15945783703516e-05,0.00338347124049446,3.49027957139367e-05,3.496381245411e-05,0.0141441219004621,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
"frater",2.9238911142949e-05,0.012262621938167,0.00157645822385707,0.00466755278043955,0.00161132349688793,3.34997152524204e-05,3.49027957139367e-05,3.496381245411e-05,3.5272124440055e-05,3.62305713561103e-05,3.81664821953361e-05,3.78773531305632e-05,3.84600592284912e-05,4.20150413848158e-05,4.48410385184521e-05
