"","eius_quem_fecit_suo_deinde_mea_manu","nunc_illum_quia_es_unquam_nemo_vides","iussit_mea_afferri_puerum_coepi_tota_fortunata","ita_plane_vinum_rogo_vos_bene_oportet","suum_mehercules_nemo_illum_puto_magis_potest","statim_fit_summam_puer_quem_esset_aquam","altera_habebat_pro_puer_omnium_nobis_factum","ceterum_mensam_ecce_factus_suam_hac_subito","homines_medio_amici_meo_quibus_volo_circa","fuit_illius_male_sestertium_sibi_quicquid_die","hic_c_illum_bene_erant_hanc_scio","minus_cocus_supra_puer_circa_voce_putes","triclinium_familia_eius_iussit_post_res_melius","nobis_pedes_servus_totum_cena_domini_sumus","homo_facere_potui_aliquis_panem_nostrum_plus"
"nunc",7.64117062734011e-05,0.0596647334551521,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,0.0088309871469791,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"triclinium",7.64117062734011e-05,7.94470485421467e-05,0.0162924535948772,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,0.00886976376569773,0.0141293159913914,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0399521769453024,0.000102176356391131,0.000120670930372873
"sibi",0.0191793382746237,7.94470485421467e-05,8.10569830590905e-05,0.0250062307884024,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,0.0237083215264003,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"statim",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.00427243025885901,0.0392617741795073,0.0132027629623153,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0141957318792893,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"mehercules",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,0.0461590014241434,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0188963053492526,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"quem",0.0344616795293039,7.94470485421467e-05,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,0.0262035344302255,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"quia",0.00389699701994346,0.0358306188925081,8.10569830590905e-05,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0188963053492526,9.53561552398207e-05,9.96313639533725e-05,0.00521099417594769,0.000120670930372873
"bene",0.00389699701994346,7.94470485421467e-05,8.10569830590905e-05,0.0333139486583036,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,0.0235968788192159,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"fortunata",0.0191793382746237,0.0119965043298641,0.0203453027478317,8.30771786990114e-05,8.37731423305688e-05,8.70549316618787e-05,8.74355163067238e-05,8.781944322473e-05,0.00477215308318518,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,9.96313639533725e-05,0.000102176356391131,0.000120670930372873
"ita",7.64117062734011e-05,7.94470485421467e-05,8.10569830590905e-05,0.0416216665282047,8.37731423305688e-05,0.00443980151475581,8.74355163067238e-05,8.781944322473e-05,9.35716290820623e-05,9.44554642486068e-05,9.40114693992667e-05,9.53561552398207e-05,0.0150443359569593,0.000102176356391131,0.000120670930372873
