"","identifier","text","ego_inquam_sum_tu_ille_Trimalchio_Et","sum_tu_aut_ego_inquam_ille_Quid","sum_neque_enim_sed_hic_suus_homo","ego_neo_quidem_meus_hic_ab_sed","inquam_ego_tu_hic_ille_sum_tam","ego_ille_hic_sum_puer_facio_is","neque_ergo_aut_hic_sed_possum_omnis","supo_manus_omnis_ille_totus_sui_atque","sum_ille_alter_de_habeo_sui_ego","suus_totus_manus_oculus_puer_Giton_autem","ego_sum_idem_manus_tamquam_do_is","sum_nos_ex_Trimalchio_jubeo_modus_suus","atque_pectus_malus_corpus_meus_dum_ante","jam_hic_sum_ipse_inter_facio_ab","atque_per_alius_totus_orbis_nox_furo"
"11","urn:cts:latinLit:phi0972.phi001:2.8","Ad summam, quis postea Thucydidis, quis Hyperidis ad fama processit? Ac neo carmen quidem sanus color enituit, sed omnis quasi idem cibus pasco non possum usque ad senectus canescere.","0.329577464788732","0.000938967136150235","0.000938967136150235","0.282629107981221","0.000938967136150235","0.000938967136150235","0.329577464788732","0.000938967136150235","0.047887323943662","0.000938967136150235","0.000938967136150235","0.000938967136150235","0.000938967136150235","0.000938967136150235","0.000938967136150235"
"12","urn:cts:latinLit:phi0972.phi001:2.9","Pictura quoque non alius exeo fecit, postquam Aegyptiorum audacia tam magnus ars compendiarius invenit.","0.00194174757281553","0.390291262135922","0.487378640776699","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.0990291262135923","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553"
"13","urn:cts:latinLit:phi0972.phi001:3.1","Non sum patior Agamemnon ego diu declamo in porticu, qui ipse in schola sudaverat, sed Adulescens inquam  quoniam sermo habeo non publicus sapor et, qui rarus est, amo bonus mentem, non fraudo tu ars secreta.","0.467357512953368","0.467357512953368","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.0528497409326425","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181","0.00103626943005181"
"14","urn:cts:latinLit:phi0972.phi001:3.2","Nihil nimirum in hic exercitatio doctor peccant, qui necesse habeo cum insanio furere. Nam nitor dico qui adulescentulus probent, ut aio Cicero, 'soli in schola relinquentur.'","0.0902654867256637","0.621238938053097","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.267256637168142","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"15","urn:cts:latinLit:phi0972.phi001:3.3","Sicut fingo adulator cum cena dives captant, nihil prior meditor qui is qui puto gratissi mum auditor fore: neque enim aliter impetro qui petunt, nitor quidam insidiae auris fecerint:","0.0013986013986014","0.0013986013986014","0.351048951048951","0.630769230769231","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014"
"16","urn:cts:latinLit:phi0972.phi001:3.4","sic eloquentia magister, nitor tamquam piscator is impono hama escam, qui scio appeto sum pisciculos, sinum spes praeda moror in scopulo.","0.00130718954248366","0.328104575163399","0.0666666666666667","0.00130718954248366","0.00130718954248366","0.13202614379085","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.00130718954248366","0.458823529411765"
"17","urn:cts:latinLit:phi0972.phi001:4.1","Quid ergo est? Parentes objurgatio dignus sunt, qui noluntliberos suus severus lego proficere.","0.00273972602739726","0.00273972602739726","0.13972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.687671232876712","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.13972602739726","0.00273972602739726","0.00273972602739726"
"18","urn:cts:latinLit:phi0972.phi001:4.2","Primum enim sic ut omnia, spes quoque suus ambitio donant. Deinde cum ad votum properant, crudus adhuc studium in foris pello et eloquentiam, qui nihil sum magnus confitentur, puer induo adhuc nascentibus.","0.00115606936416185","0.00115606936416185","0.926011560693642","0.00115606936416185","0.00115606936416185","0.0589595375722543","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185"
"19","urn:cts:latinLit:phi0972.phi001:4.3","Quod si patior labor gradus fieri, ut studiosus juvenis lectio severus irrigarentur, ut sapientia praecipio animus componerent, ut verbum atrox stilus effoderent, ut qui volo imito diu audirent, ut persuadeo sui nihil sum magnificum, qui puer placeret: jam ille grandis oratio habeo majestas suus pondus.","0.3419795221843","0.00068259385665529","0.00068259385665529","0.00068259385665529","0.00068259385665529","0.0689419795221843","0.273720136518771","0.00068259385665529","0.00068259385665529","0.307849829351536","0.00068259385665529","0.00068259385665529","0.00068259385665529","0.00068259385665529","0.00068259385665529"
"20","urn:cts:latinLit:phi0972.phi001:4.4","Nunc puer in schola ludunt, juvenis rideo in foro, et qui utroque turpis est, qui quisque perperus didicit, in senectus confiteor non vult.","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.178761061946903","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.798230088495575","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"21","urn:cts:latinLit:phi0972.phi001:4.5","Sed neo ego puto improbo schedius Lucilianae humilitatis, qui sentio, et ipse carmen effingam:","0.00273972602739726","0.00273972602739726","0.276712328767123","0.276712328767123","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.413698630136986","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726"
"22","urn:cts:latinLit:phi0972.phi001:5.1.1","Artis severus si quis ambio efficio","0.00465116279069767","0.237209302325581","0.00465116279069767","0.702325581395349","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"23","urn:cts:latinLit:phi0972.phi001:5.1.2","mens magnus applicat, prior mos","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"24","urn:cts:latinLit:phi0972.phi001:5.1.3","frugalitatis lego polio exacta.","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"25","urn:cts:latinLit:phi0972.phi001:5.1.4","Nec curo alo regius trux vultus","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.479365079365079","0.00317460317460317","0.479365079365079","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317"
"26","urn:cts:latinLit:phi0972.phi001:5.1.5","cliens cena impotens captet,","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"27","urn:cts:latinLit:phi0972.phi001:5.1.6","neque perdo addico obruo vinum","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767"
"28","urn:cts:latinLit:phi0972.phi001:5.1.7","mens calorem, neve plausor in scaena","0.00606060606060606","0.00606060606060606","0.915151515151515","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"29","urn:cts:latinLit:phi0972.phi001:5.1.8","sedeo re-emo histrio ad rictus.","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"30","urn:cts:latinLit:phi0972.phi001:5.1.9","Sed sive armiger rideo Tritonidis arces,","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"31","urn:cts:latinLit:phi0972.phi001:5.1.10","sive Lacedaemonio tellus habito colonus","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.612121212121212","0.309090909090909","0.00606060606060606","0.00606060606060606","0.00606060606060606"
