"","ego_inquam_sum_tu_ille_Trimalchio_Et","sum_tu_aut_ego_inquam_ille_Quid","sum_neque_enim_sed_hic_suus_homo","ego_neo_quidem_meus_hic_ab_sed","inquam_ego_tu_hic_ille_sum_tam","ego_ille_hic_sum_puer_facio_is","neque_ergo_aut_hic_sed_possum_omnis","supo_manus_omnis_ille_totus_sui_atque","sum_ille_alter_de_habeo_sui_ego","suus_totus_manus_oculus_puer_Giton_autem","ego_sum_idem_manus_tamquam_do_is","sum_nos_ex_Trimalchio_jubeo_modus_suus","atque_pectus_malus_corpus_meus_dum_ante","jam_hic_sum_ipse_inter_facio_ab","atque_per_alius_totus_orbis_nox_furo"
"nos",0.0113720291639049,0.0124486264330521,0.00233422366740216,1.26726650614624e-05,1.38293458719403e-05,0.0134492999575732,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,0.0124268746676121,0.0219828487764066,0.00860330401201459,2.24164985429276e-05,2.2517451024544e-05
"manus",9.46880030300161e-06,1.08154877784988e-05,0.00233422366740216,0.00761627170193892,0.00831143686903609,0.00496393720831566,1.48676776687481e-05,0.0172975641869651,1.6803898504453e-05,0.0178105405863413,0.0195178159900727,0.00943317297636478,2.14546234713581e-05,2.24164985429276e-05,0.00452600765593335
"jam",0.011845469179055,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,0.00692850228184207,1.41422712487626e-05,0.0111656259292299,1.64581961816985e-05,0.0134599227020669,0.0127266564988985,0.000904095018613721,2.09161263334031e-05,2.14546234713581e-05,0.0314055144586416,2.2517451024544e-05
"quis",0.00995170911845469,0.0119078520441272,0.00988270816397631,0.0126853377265239,1.38293458719403e-05,1.41422712487626e-05,0.0111656259292299,1.64581961816985e-05,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,0.0118214975327183,0.00338489127998207,2.2517451024544e-05
"aut",9.46880030300161e-06,0.0346203763789747,1.16130530716525e-05,1.26726650614624e-05,0.00277969852025999,1.41422712487626e-05,0.0215730002973536,0.00166227781435155,1.6803898504453e-05,1.6946280291476e-05,1.77273533061514e-05,0.00943317297636478,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"atque",9.46880030300161e-06,1.08154877784988e-05,1.16130530716525e-05,1.26726650614624e-05,1.38293458719403e-05,1.41422712487626e-05,0.0148825453464169,0.0131830151415405,1.6803898504453e-05,1.6946280291476e-05,0.000904095018613721,0.0136163982430454,0.0214760780948294,0.00898901591571397,0.0326728214366134
"suus",9.46880030300161e-06,1.08154877784988e-05,0.0191731506212983,1.26726650614624e-05,1.38293458719403e-05,0.0113279592702588,1.48676776687481e-05,1.64581961816985e-05,1.6803898504453e-05,0.0254363667175055,1.77273533061514e-05,0.0167538171930558,0.0118214975327183,0.00114324142568931,2.2517451024544e-05
"enim",0.0108985891487549,0.00487778498810296,0.0214957612356288,0.00761627170193892,1.38293458719403e-05,1.41422712487626e-05,0.00224501932798097,0.00495391705069124,0.00253738867417241,1.6946280291476e-05,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
"ab",0.00853138907300445,0.00217391304347826,0.00407618162815004,0.0152198707388164,1.38293458719403e-05,0.00849950502050629,0.00819209039548023,1.64581961816985e-05,1.6803898504453e-05,0.00425351635316048,1.77273533061514e-05,2.09161263334031e-05,2.14546234713581e-05,0.0112306657700067,2.2517451024544e-05
"puer",9.46880030300161e-06,1.08154877784988e-05,0.0075600975496458,1.26726650614624e-05,1.38293458719403e-05,0.0183990948946401,1.48676776687481e-05,0.00742264647794602,1.6803898504453e-05,0.0161159125571937,0.00710866867576671,0.0115247856097051,2.14546234713581e-05,2.24164985429276e-05,2.2517451024544e-05
